PROJECT REFERENCE NUMBER|DESCRIPTION|CSC NO|DATE ISSUED|FLOOR AREA|COST|RESIDENTIAL UNITS
E3794-00016-2008-ST01|PROPOSED SLOPE STRENGTHENING AT LEE AH MOOI OLD AGE HOME ON LOT 3390V (PT) MK 17 AT 450 THOMSON ROAD|201439656|02/01/2014|0|0|0
E2366-00006-2007-ST01|PROPOSED STRENGTHENING OF EXISTING RETAINING WALL AT 283 AND 283A HOLLAND ROAD ON LOT(S) 2330  MK04 AT 283,283A HOLLAND ROAD SINGAPORE 278622|201439657|02/01/2014|0|0|0
E0179-00047-2010-BP01|HALF-HEIGHT PLATFORM SCREEN DOORS & ASSOCIATED WORKS TO EXISTING YEW TEE MRT STATION ON LOT 1792 MK 11 AT 61 CHOA CHU KANG DRIVE (CHOA CHU KANG PLANNING AREA)|201439658|03/01/2014|0|3471618|0
E1352-00953-2012-BP01|ADDITION AND ALTERATION WORKS TO AN  EXISTING 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH NEW ATTIC ON LOT 97434X MK-17 AT 47 WOODSVILLE CLOSE|201439659|03/01/2014|152|500000|0
E4413-00030-2013-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 01420M MK 26 AT 1A JALAN BULOH PERINDU|201439660|03/01/2014|200|385000|0
E1439-01108-2012-BP01|ADDITION OF GAS ENGINE GENERATOR TO SINGAPORE LNG TERMINAL ON LOT 02812T AND STATE FORESHORES MK 34 ON LOT 02812T ,02883C,02884M & 02885W AT MERANTI VIEW (WESTERN ISLANDS PLANNING AREA)|201439661|03/01/2014|801|2750000|0
A0970-01118-2011-BP01|COVERED LINKWAY FROM WOODLEIGH MRT STATION TO EXISTING BUS SHELTER ON LOTS 09720K PT, 09727V PT & 09729T PT MK 24 AT SERANGOON ROAD|201439662|03/01/2014|494|89000|0
E0179-00029-2010-BP01|HALF-HEIGHT  PLATFORM  SCREEN  DOORS  AND  ASSOCIATED  WORKS  TO  EXISTING  COMMONWEALTH  MRT  STATION  ON  LOT  2363  MK  3  AT  NO. 375  COMMONWEALTH  AVENUE  (QUEENSTOWN  PLANNING  AREA ) ON LOT(S) 2363  MK03 AT 375 COMMONWEALTH AVENUE|201439663|03/01/2014|0|3471618|0
A0984-00008-2012-BP01|RECONSTRUCTION OF THE EXISTING 2-STOREY CORNER TERRACE DWELLING HOUSE ON LOT 05739M MK27 AT 1 JALAN LIMAU MANIS SINGAPORE 468330|201439665|03/01/2014|368|400000|1
E3060-04012-2012-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 2 STOREY SINGLE USER TERRACE FACTORY WITH A SINGLE STOREY EXTENSION AT THE REAR ON LOT 02626T MK07 AT 9 TUAS LINK 3|201439668|03/01/2014|222|300000|0
E1485-00006-2011-BP01|NEW ERECTION OF A 5-STOREY GENERAL INDUSTRIAL SINGLE-USER DETACHED FACTORY BUILDING WITH A MEZZANINE FLOOR AND A BASEMENT CARPARK ON LOT(S) 01850P  MK06 AT 30 PIONEER ROAD NORTH SINGAPORE 628471,  30 PIONEER ROAD NORTH SINGAPORE 628471|201439672|03/01/2014|12549|11800000|0
A0579-00603-2011-BP01|RECONSTRUCTION OF EXISTING 2-STOREY DETACHED DWELLING HOUSE WITH SWIMMING POOL ON LOT 03769M MK 17 AT 46 ANDREW ROAD|201439676|05/01/2014|0|0|1
A1626-00001-2013-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 6-STOREY LIGHT INDUSTRIAL FLATTED FACTORY WITH BASEMENT CARPARK AND ANCILLARIES ON LOT 13100W MK.18 AT NO.10  ANG MO KIO STREET 65 [TECHPOINT]|201439677|05/01/2014|192|6173902|0
E2537-00071-2009-ST01|PROPOSED INSTALLATION OF NEW CASEMENT WINDOW TO THE EXISTING HDB FLAT ON LOT 2266X MK 29 AT UNIT #10-53, BLK 585 PASIR RIS STREET 53|201439678|06/01/2014|0|0|0
E3244-07029-2010-ST01|PROPOSED ADDITIONS TO THE EXISTING PART SINGLE, PART 2-STOREY FACTORY BUILDING ON LOT 3110T MK 07 AT TUAS SOUTH AVE 3|201439679|06/01/2014|0|0|1
E0179-00041-2010-BP01|HALF-HEIGHT PLATFORM SCREEN DOORS & ASSOCIATED WORKS TO EXISTING ADMIRALTY MRT STATION ON LOT 2812X MK 13 AT 70 WOODLANDS AVENUE 7|201439682|06/01/2014|0|3471618|0
A0970-01214-2012-BP01|COVER OVER EXISTING PEDESTRIAN OVERHEAD BRIDGE AND COVERED LINKWAY TO EXISTING BUS SHELTERS ON LOT 06339W PT, 06709W PT MK 4 & 01952A PT, 02031T PT MK 16 AT BUKIT TIMAH ROAD/DUNEARN ROAD NEAR THE NEXUS|201439683|06/01/2014|354|500000|0
A0930-00002-2008-BP01|ALTERATIONS AND ADDITIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT AT BLKS 621 & 622 WITH NEW LIFTS / LIFT LOBBIES AT HOUGANG N6 C6 (PT) AT HOUGANG AVE 8 (LIFT UPGRADING PROGRAMME) ON LOT(S) 4511P , 4512T , 4513A , 4514K , 4516X , 4517L , 4518C , 4519M , 4524V , 4525P , 4526T , 4527A , 4529N , 4530A , 4546N , 4547X , 4548L , 4549C , 4550X  & 5913V  MK22 AT 621 & 622 HOUGANG AVENUE 8|201439680|06/01/2014|0|489959|0
A0898-87301-2012-BP01|ADDITION & ALTERATION TO ENTRANCE D OF KHATIB MRT STATION & PROPOSED COVERED LINKWAY FROM EXISTING PICK-UP POINT TO EXISTING BUS SHELTER ON LOT 01491K MK 19 AT YISHUN RING ROAD|201439684|06/01/2014|161|150000|0
A1614-00336-2012-BP01|ADDITIONS & ALTERATIONS TO EXISTING TOILET AT 4TH STOREY OF EXISTING COMMERCIAL COMPLEX ON LOT-03466W MK-05 AT 3151 COMMONWEALTH AVENUE WEST SINGAPORE 129581|201439685|06/01/2014|55|120000|0
A1722-00007-2013-BP01|ALTERATIONS AND ADDITIONS TO EXISTING SECOND STOREY OF SCAPE ON LOT(S) 01219L , 01220N , 01303T , 01306N  & 01307X  TS21 AT 2 ORCHARD LINK SCAPE SINGAPORE 237978|201439688|06/01/2014|27|91000|0
E3187-20036-2012-BP01|BUS SHELTER (72019) (B06) EXTENSION ON LOT 06298K MK 23 ALONG JALAN EUNOS|201439689|06/01/2014|36|39606|0
A1618-12205-2009-BP01|ADDITIONS & ALTERATIONS FOR BARRIER-FREE ACCESSIBILITY TO THE EXISTING 4-STOREY TAMPINES CHANGKAT COMMUNITY CENTRE ON LOT 4124L MK28 AT 13 TAMPINES STREET 11|201439690|06/01/2014|0|0|0
E0179-00046-2010-BP01|HALF-HEIGHT PLATFORM SCREEN DOORS & ASSOCIATED WORKS TO EXISTING WOODLANDS MRT STATION ON LOT 70000A MK 13 AT NO. 30 WOODLANDS AVENUE 2 (WOODLANDS PLANNING AREA)|201439691|06/01/2014|0|3471618|0
E0179-00044-2010-BP01|HALF-HEIGHT PLATFORM SCREEN DOORS & ASSOCIATED WORKS TO EXISTING MARSILING MRT STATION ON LOT 3131N MK 13 AT 71 WOODLANDS AVENUE 3|201439692|06/01/2014|0|3471618|0
E0179-00040-2010-BP01|HALF-HEIGHT PLATFORM SCREEN DOORS & ASSOCIATED WORKS TO EXISTING YIO CHU KANG MRT STATION ON LOT 11721V MK 18 AT 3000 ANG MO KIO AVENUE 8|201439693|06/01/2014|0|3471618|0
E0179-00037-2010-BP01|HALF-HEIGHT PLATFORM SCREEN DOORS & ASSOCIATED WORKS TO EXISTING REDHILL MRT STATION ON LOT 2195K MK 1 AT 920 TIONG BAHRU ROAD|201439695|06/01/2014|0|3471618|0
E0179-00042-2010-BP01|HALF-HEIGHT PLATFORM SCREEN DOORS & ASSOCIATED WORKS TO EXISTING CHOA CHU KANG MRT STATION ON LOT 1271 MK 11 AT NO. 10 CHOA CHU KANG AVENUE 4 (CHOA CHU KANG PLANNING AREA)|201439694|06/01/2014|0|3471618|0
E0179-00017-2009-BP01|HALF-HEIGHT PLATFORM SCREEN DOORS AND ASSOCIATED WORKS TO EXISTING CHINESE GARDEN MRT STATION ON LOT 5345 MK 5 AT NO. 151 BOON LAY WAY (JURONG EAST PLANNING AREA)|201439697|06/01/2014|0|3471618|0
A0414-00109-2010-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 94122A MK 26 AT 21 SIGLAP RISE|201439696|06/01/2014|518|950000|1
A0887-01037-2010-BP01|ADDITIONS & ALTERATIONS TO EXISTING 5-STOREY BLOCK OF FLATS ON LOT 2637 (02637N) MK 02 AT 112 HOLLAND ROAD|201439699|06/01/2014|119|660675|0
A1525-00020-2010-BP01|RECONSTRUCTION OF EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING TO 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 02414A MK18 AT 53 JALAN MINGGU|201439701|06/01/2014|225|500000|1
A1717-00004-2011-BP01|ERECTION OF A SINGLE-STOREY SINGAPORE CUSTOMS SCANNINGSTATION AT PASIR PANJANG FREE TRADE ZONE CONSISTING ONE ADMINISTRATION BLOCK AND ONE COVERED PLATFORM ON LOT(S) 4695M MK03 AT HARBOUR DRIVE|201439706|06/01/2014|1161|5600000|0
A0224-06328-2012-BP01|ERECTION OF A 2-STOREY CORNER TERRACE DWELLING HOUSEWITH AN ATTIC ON LOT 02046N MK18 AT 69 SELETAR HILLS DRIVE|201439707|06/01/2014|497|900000|1
E2194-00504-2012-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH PROVISION OF AN ATTIC ON LOT 06091T MK22 AT 19 HIGHLAND WALK|201439708|07/01/2014|148|310000|0
E4283-00003-2012-BP01|ADDITIONS & ALTERATIONS INVOLVING THE ADDITION OF TANK, PROCESS EQUIPMENT AND RELATED ANCILLARY STRUCTURES FOR ROHM AND HAAS CHEMICALS SINGAPORE PTE LTD AT 250 AYER MERBAU ROAD WITHIN EXISTING PETROCHEMICAL COMPLEX ON LOTS NO. 402V, 403P, 404T, 405A, 406K, 407N, 408X, 409L, 1863L, 1862X, 668M, 669W, 367X, 368L, 799X, 2416L, 2465C, 2591V, 3030A, 2977T, 2978A, 3185L, 3186C, 3187M, 3031KPT, 3067MPT MK34, JURONG ISLAND|201439709|07/01/2014|35|60000|0
E3687-00307-2012-BP01|ADDITION OF 2ND STOREY EXTENSION TO THE EXISTING PART 4 / PART 6 STOREY SINGLE USER WAREHOUSE COMPLEX WITH A BASEMENT CARPARK ON LOT 02021M & LOT 634N MK 01 AT 307 ALEXANDRA ROAD|201439710|07/01/2014|1084|300000|0
E3981-00003-2012-ST01|PROPOSED SLOPE STABILIZATION USING SOIL NAILS FOR SLOPE FACING BLOCK 43 AND CARPARK B (BEHIND MARINA DECK), MOUNT FABER PARK ON LOT(S) 03002N , 03759K  & 03761A  MK01 AT MOUNT FABER ROAD|201439713|07/01/2014|0|0|0
E3593-00176-2009-ST01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 25-STOREY RESIDENTIAL BLOCK ON LOT 04609K MK 27 AT 67 BEDOK SOUTH AVENUE 3 #06-500 SINGAPORE 460067|201339518|07/01/2014|0|0|1
E2722-00017-2011-ST01|PROPOSED BARRIER TO EXISTING HDB FLAT AT BLK 33 CHAI CHEE AVENUE #02-246, SINGAPORE 461033 AT 33 CHAI CHEE AVENUE #02-246 SINGAPORE 461033|201439714|07/01/2014|0|0|1
E2596-00015-2008-ST01|PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING HDB SHOP LOT AT BLK 57 GEYLANG BAHRU #01-3497 AT 57 GEYLANG BAHRU #01-3497 SINGAPORE 330057|201439715|07/01/2014|0|0|1
E3795-00205-2008-ST01|PROPOSED R.C. PLINTH TO SUPPORT 5,000 LITRES N2 TANK TO EXISTING FACTORY ON LOT 2819T MK 6 AT NOS. 5 & 7 BENOI CRESCENT, SINGAPORE 629971|201439716|07/01/2014|0|0|1
E3302-00619-2006-BP01|RETENTIONS AND ADDITIONS AND ALTERATIONS TO AN EXISTING PART 2 PART 5-STOREY FACTORY ON LOT 09896K MK 27 AT 19 CHANGI SOUTH STREET 1|201439718|07/01/2014|386|800000|0
A0849-00183-2012-BP01|ADDITION AND ALTERATION WORKS TO PART OF 3RD STOREY, 4TH STOREY, 5TH STOREY & 9TH STOREY OF THE EXISTING 9 STOREY BUSINESS PARK AND ONE BASEMENT CARPARK ON LOTS 10603X & 10610W MK27 AT 1 CHANGI BUSINESS PARK CENTRAL 1|201439722|07/01/2014|0|37915000|0
E2497-00004-2008-ST01|PROPOSED 1 UNIT SINGLE-SIDED ILLUMINATED 'KTL GLOBAL LIMITED' SIGN AT 61 TUAS BAY DRIVE SINGAPORE 637428 AT 61 TUAS BAY DRIVE SINGAPORE 637428|201439723|07/01/2014|0|0|0
E2497-00008-2007-ST01|PROPOSED 1 UNIT OF SINGLE-SIDED ILLUMINATED SIGN "WASH N RUN" FOR ESSO SERVICE STATION GUILLEMARD BRANCH AT 225 GUILLEMARD ROAD SINGAPORE 399739 AT 225 GUILLEMARD ROAD SINGAPORE 399739|201439727|07/01/2014|0|0|0
E2511-00301-2008-ST01|PROPOSED INSTALLATION OF ADVERTISEMENT SIGNBOARD FOR 7-ELEVEN STORE AT 3535 ANG MO KIO AVE 6 SHELL PETROL STATION AT 3535 ANG MO KIO AVENUE 6 SINGAPORE 569839|201439728|07/01/2014|0|0|0
A0659-00090-2006-BP01|A BLOCK OF 19- STOREY FLATS (TOTAL 72 UNITS) WITH ROOFTOP SWIMMING POOL, BASEMENT CARPARKS AND SHOPS AT 1ST STOREY LEVEL ON LOT 3791P MK 25 AT GUILLEMARD ROAD|201439729|07/01/2014|0|0|0
E3402-11001-2011-BP01|CONTRACT ER357-ACCESS ROAD CONNECTING FABER WALK TO COMMONWEALTH AVENUE WEST ON LOT(S) 04067W  MK05 AT LEMPENG DRIVE|201439730|07/01/2014|20|50000|0
E3785-00001-2008-ST01|PROPOSED CONCRETE PAVEMENT, SEWER PUMP SUMP & ANCILLARY WORKS FOR CONTAINER STACKING NEXT TO BLK X12/SERVICE BAY, BRANI TERMINAL AT TEMP ROAD NAME|201439731|07/01/2014|0|0|0
E3593-00114-2008-ST01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 25-STOREY HDB BLOCK ON     LOT 00584T TS 23 AT 110 SPOTTISWOODE PARK ROAD #13-95 SINGAPORE 081110 ON LOT(S) 00584T  TS23 AT SPOTTISWOODE PARK ROAD|201439732|07/01/2014|0|0|0
E3593-00123-2008-ST01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 25-STOREY HDB BLOCK ON LOT 09092WMK 17 AT 100 WHAMPOA DRIVE #23-182 SINGAPORE 320100|201439733|07/01/2014|0|0|0
E3593-00124-2008-ST01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 25-STOREY RESIDENTIAL BLOCK ON LOT 01844X MK 28 AT 96 BEDOK NORTH AVENIE 4 #17-1507 SINGAPORE 460096|201439734|07/01/2014|0|0|0
E3795-00005-2013-BP01|NEW ERECTION OF SHELTER ON LOT 01442N  MK03 AT LABRADOR PARK, LABRADOR VILLA ROAD|201439737|07/01/2014|47|20000|0
E2366-00222-2012-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 02574V MK 27 AT 61 WOO MON CHEW ROAD|201439738|08/01/2014|105|550000|0
E3578-00031-2008-ST01|PROPOSED SLOPE SURFACE PROTECTION WORKS AT MUKIM 34 LOT 01236L AND LOT 00233X ST. JOHN ISLAND ON LOT(S) 00233X  & 01236L  MK34 AT TEMP ROAD NAME|201439739|08/01/2014|0|0|0
E0332-00390-2013-ST01|PROPOSED STEEL COULUMNS AND RUNWAY BEAMS FOR 1 UNIT OF 2 TONS SINGLE GIRDER ELECTRIC OVERHEAD CRANE TO AN EXISTINGFACTORY. ON LOT(S) 787P  MK06 AT 5 TUKANG INNOVATION GROVE CATERPILLAR MARINE ASIA PACIFIC PTE LTD SINGAPORE 618304|201439740|08/01/2014|0|0|0
E1998-11240-2013-BP01|ADDITIONS & ALTERATIONS TO EXISTING PIPERACKS, NEW PUMP PIT, NEW CONTOL PANEL SHED AND OTHER ANCILLARIES (CARADOL PROJECT) WITHIN EXISTING STORAGE TERMINAL ON LOTS 1100N, 1204X, 1251N, 1253L, 1259T, 1260V, 1261P, 1262T, 1263A, 1264K, 1266X, 1270L, 1271C, 1272M, 1273W, 1274V, 2611L, 2612C PT, 2688C, 2690L, 2691C & 2692M MK34  AT 1 SERAYA AVENUE|201439741|08/01/2014|201|1070000|0
A1591-00239-2013-BP01|CONVERSION OF EXISTING VOID DECK TO PROPOSED YOUTH CENTRE ON LOT 00681W MK14 AT 403 FAJAR ROAD|201439742|08/01/2014|261|300000|0
A1044-01071-2012-BP01|ERECTION OF 22KV ELECTRICAL SUBSTATION ON LOTS 03274X PT AND 03253T PT MK19 AT 71 LORONG CHENCHARU|201439745|08/01/2014|191|568570|0
E2290-90015-2013-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 2- STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 03288N MK 25 AT 23 PEACH GARDEN  (MARINE PARADE PLANNING AREA)|201439747|08/01/2014|97|100000|1
E1436-00791-2012-BP01|ADDITIONS AND ALTERATIONS TO EXISTING FACTORY COMPLEX ON LOTS 00211X, 00855M & 01414P MK 07 AT 2 BENOI ROAD|201439749|08/01/2014|683|1500000|0
E3041-00021-2013-ST01|PROPOSED INSTALLATION OF SG EOT CRANE TO EXISTING TWO STOREY JTC STANDARD DETACHED FACTORY MK07 ON LOT 01991X AT 6 TUAS BASIN LINK (TUAS PLANNING AREA) FOR M/S Y.H.H MARINE ENGINEERING PTE LTD|201439752|08/01/2014|0|0|0
A0514-01304-2013-BP01|ADDITIONS & ALTERATIONS TO EXISTING 2-STOREY INTERMEDIATE SHOPHOUSE WITH A MEZZANINE  ON LOT 99943A TS28 AT 184 BUKIT TIMAH ROAD|201439751|08/01/2014|249|380000|0
A1106-00140-2011-BP01|RECONSTRUCTION OF THE EXISTING 2-STOREY DETACHED DWELLLING HOUSEWITH ADDITION OF AN ATTIC & A SWIMMING POOL ON LOT 00340M  MK04 AT 14 HOLLAND GROVE DRIVE|201439750|08/01/2014|1045|1900000|1
A0673-00004-2007-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT AT BLOCKS 111 TO 114 WITH NEW LIFTS / LIFT LOBBIES AT GEYLANG WEST CONTRACT 1 (LIFT UPGRADING PROGRAMME) ON LOTS 7375N , 7376X  & 7377L  MK24 AT LORONG 3 GEYLANG|201439755|08/01/2014|524|2780009|0
A0637-00004-2011-BP01|ERECTION OF A PAIR OF 2-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 00682C MK04 AT 17 NAMLY CRESCENT|201439756|08/01/2014|0|0|2
E2645-00170-2013-ST01|PROPOSED ADDITION OF HEATER HE-5731 AND ASSOCIATED PIPE SUPPORT WITHIN EXISTING CHEMICAL COMPLEX ON LOT(S) 1238M , 1239W , 1240C , 1241M , 1242W , 1267L , 1276T , 1278K , 979C , 980X , 981L  & 984W  MK34 AT 61 SERAYA AVENUE SINGAPORE 627879|201439759|08/01/2014|0|0|0
E0332-00387-2013-ST01|PROPOSED 1 UNIT OF 5 TONS OVERHEAD CANE STEEL RUNWAY BEAMS,COLUMNS AND STEEL CORBEL SUPPORTS TO AN EXISTING 3-STOREY FACTORY ON LOT 03834W MK07 AT 37B BENOI ROAD, PIONEER LOT, SINGAPORE 627795.|201439760|08/01/2014|0|0|0
E3443-01216-2012-BP01|ADDITIONS & ALTERATIONS TO AN EXISTING 2-STOREY CORNER TERRACE DWELLING HOUSE ON LOTS 02060W & 05185M MK 22 AT 106 AH SOO WALK|201439762|08/01/2014|95|550000|1
A1664-00016-2007-BP01|ADDITIONS & ALTERNATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 512, 523 TO 528, 530 TO 534 WITH NEW LIFTS, ENTRANCE / DROP-OFF PORCH, COVERED LINKWAYS & GENERAL LANDSCAPING ON LOTS 2512P, 2570C,2586W & 3498M MK10 AT BUKIT BATOK N5 C3, C3A & C4 & C6 AT BT. BATOK ST 51 & 52|201439761|08/01/2014|1065|9687553|0
A1721-00001-2013-BP01|ADDITIONS AND ALTERATIONS INVOLVING EXTENSION OF THE EXISTING STAIRCASE 9C FROM 3RD TO 4TH STOREY (PODIUM ROOF) OF THEEXISTING BUGIS JUNCTION SHOPPING CENTRE ON LOT 1015C TS 13 AT 230 VICTORIA STREET|201439764|08/01/2014|15|367300|1
A1278-01121-2011-BP01|ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH A ROOF TERRACE AND A SWIMMING POOL ON LOT 718C MK 13 AT 51 JALAN BUMBONG SINGAPORE 739866|201439765|08/01/2014|678|934579|1
A1553-00205-2012-BP01|RECONSTRUCTION WITH PROVISION OF ATTIC TO THE EXISTING 2-STOREY DETACHED DWELLING HOUSE WITH BASEMENT ON LOT 02761P MK15 AT 6 ONTARIO AVENUE|201439766|08/01/2014|780|1140000|1
A0819-01203-2013-BP01|ADDITIONS & ALTERATIONS TO UNIT #24-02 AT BLOCK 11 OF THE EXISTING CONDOMINIUM HOUSING DEVELOPMENT ON LOT(S) 01438X  TS24 AT 11 NATHAN ROAD #24-02 REGENCY PARK SINGAPORE 248732|201439767|08/01/2014|586|300000|1
E0332-00385-2013-ST01|PROPOSED 1 UNIT OF 10 TONS OVERHEAD CRANE STEEL RUNWAY BEAM AND CORBELSUPPORTS TO AN EXISTING FACTORY. ON LOT(S) 01970N  MK31 AT 25 LOYANG CRESCENT #01-05 SINGAPORE 508988|201439770|09/01/2014|0|0|0
A1578-00001-2009-BP01|A & A TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCK 171 WITH NEW LIFTS / LIFT LOBBIES ON LOTS 11925M, 11926W, 8235P, 8236T, 8237A, 8238K, 8239N, 8240A, 8241K, 8242N, 8243X, 9400V, 9401P & 9402T MK18 AT 171 ANG MO KIO AVENUE 4|201439771|09/01/2014|777|2941423|0
E4071-00025-2013-ST01|PROPOSED STEEL FRAME FOR 1L GA EQUIPMENT AT FIRST STOREY OF EXISTING 2-STOREY FACTORY AT MUKIM 07, LOT 02965M AT 1 TUAS SOUTH STREE 3 ON LOT(S) 02965M  MK07 AT 1 TUAS SOUTH STREET 3 SINGAPORE 638043|201439772|09/01/2014|0|0|0
E3143-00217-2013-ST01|PROPOSED TEMBUSU MULTI-UTILITIES COMPLEX - PACKAGE B04[INVOLVING CONSTRUCTION OF BREAK TANK SYSTEM] AT NO. 2 TEMBUSU DRIVE ON LOT(S) 03065L  MK34 AT TEMBUSU AVENUE|201439774|09/01/2014|0|0|0
E0179-00045-2010-BP01|HALF-HEIGHT PLATFORM SCREEN DOORS & ASSOCIATED WORKS TO EXISTING SEMBAWANG MRT STATION ON LOT 2822T MK 13 AT NO. 11 CANBERRA ROAD (SEMBAWANG PLANNING AREA)|201439775|09/01/2014|0|3471618|0
A1002-00005-2007-BP01|PROPOSED ERECTION OF A BLOCK OF 12-STOREY RESIDENTIAL FLAT DEVELOPMENT (TOTAL: 23 UNITS)WITH AN ATTIC, SKY TERRACES, A BASEMENT CARPARKS, SWIMMING POOL & COMMUNAL FACILITIES AT BALMORAL ROAD (TANGLIN PLANNING AREA) ON LOT(S) 594P , 595T , 596A  & 854C  TS26 AT BALMORAL ROAD|201439773|09/01/2014|8459|27000000|23
A0649-00038-2011-BP01|ADDITIONS AND ALTERATIONS WITH PROVISION OF LIFT AND ROOF SHELTER TO EXISTING 6 / 6 MULTI-STOREY CARPARK BLOCK 546A ON LOT(S) 03436P  MK13 AT 546A WOODLANDS DRIVE 16|201439776|09/01/2014|2032|679530|0
E4004-00006-2008-ST01|PROPOSED UPGRADING OF 2 NOS OF 50MVAR & 1 NO OF 100MVAR SHUNT REACTORS TO THE EXISTING AYER RAJAH ESTATE 230/66/22KV SUBSTATION ON LOT 1711 MK03 AT AYER RAJAH CRESCENT|201439778|09/01/2014|0|0|0
