PROJECT REFERENCE NUMBER|DESCRIPTION|ARCHITECT|TOP NUMBER|DATE ISSUED|FLOOR AREA|COST|RESIDENTIAL UNITS
A0816-00272-2008-BP01|UPGRADING OF EXISTING WORKERS' DORMITORIES DEVELOPMENT INVOLVING A NEW 18-STOREY BLOCK ON LOT 07661T MK 05 AT 28 TOH GUAN ROAD EAST|HO SEOW HUI|201439721|07/01/2014|18571.03|2200000|0
A1822-00004-2009-BP01|A & A TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 501 TO 503, 505, 508 & 509 WITH NEW LIFTS / LIFT LOBBIES AT TAMPINES CENTRAL 1 (LUP) ON LOTS 1130X, 1134W & 2621N MK29 [PHASE 4 TOP FOR BLOCK 503 LIFTS B, C, E, F, G & H AND BLOCK 505 LIFTS A, B, C, E & G ONLY]|LING SUNG HUNG|201439724|07/01/2014|1375.2|4302836|0
A1404-00297-2009-BP01|CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 7 BLOCKS OF 12-STOREY APARTMENTS WITH ATTIC (TOTAL 473 UNITS) WITH A SHOP UNIT, 2 LEVELS OF BASEMENT CAR PARK, A BLOCK OF PART 1 / PART 4 STOREY MULTI-STOREY CAR PARK WITH ROOF TERRACE ABOVE AND PROVISION FOR SWIMMING POOL AND CLUBHOUSE ON LOTS 01606C & 05898K MK 28 AT LENGKONG TUJOH|CHAN SZE CHIN|201439725|07/01/2014|64411.46|117576000|473
A0537-00199-2010-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING PUBLIC HOUSING DEVELOPMENT TO BLOCKS 519, 520, 521, 522, 548, 549, 550, 551, 552 & 553 (LIFT UPGRADING PROGRAMME) ON LOTS 1867P , 1868T , 1869A , 1870P , 2028L , 2030X , 2031L , 2032C , 2968C , 5874C  & 7063M  MK28 AT BEDOK NORTH AVENUE 1[THIS TOP IS GRANTED FOR BLOCK 552 (LIFT A, B & D) & BLOCK 553 (LIFT A, B & D)]|GOH PENG THONG|201439726|07/01/2014|1081.32|3106727|0
A1194-01038-2011-BP01|ADDITIONAL & ALTERATIONS TO EXISTING 6-STOREY INSTITUTIONAL BUILDING (KEMING PRIMARY SCHOOL) WITH NEW ERECTION OF 4-STOREY ANNEX BUILDING ON LOT 3541C MK10 AT 90 BUKIT BATOKEAST AVENUE 6|THEODORE CHAN ENG CHYE|201439743|08/01/2014|4660.69|8680000|0
A1422-00401-2012-BP01|ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLINGHOUSE WITH AN ATTIC ON LOT 0945T MK 24 AT 19A EDEN GROVE|POON CHIP WAH|201439744|08/01/2014|612.46|800000|1
A1937-00024-2012-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC & SWIMMING POOL ON LOT 00793L MK 16 AT 7 JALAN JAMBU MAWAR.|CASEY CHUA KAE-SHIN|201439746|08/01/2014|447.34|850000|1
A0224-00547-2012-BP01|NEW ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 01460N MK 02 AT 95 DUCHESS AVENUE|WONG KOK YAN|201439748|08/01/2014|721.6|800000|1
A0760-00003-2010-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING BLOCK 1,2,3 & 4 AND ADDITION OF 7-STOREY BLOCK (BLOCK 5) OF SAINT LUKE'S HOSPITAL (APPLICATION FOR PARTIAL TOP) ON LOT(S) 02113A  MK10 AT 2 BUKIT BATOK STREET 11 SINGAPORE 659674- THIS PARTIAL TOP IS FOR BLOCK 5 ONLY|DAVID HU TCHING MING|201439753|08/01/2014|12420.932|12500000|0
A1974-00080-2010-BP01|ADDITIONS & ALTERATION TO THE EXISTING PUBLIC HOUSING DEVELOPMENT TO BLOCKS 221, 222, 229, 230, 231, 232, 234 & 235 ON LOTS 12007V, 12008P, 06707K, 06708N, 06987W, 06988V, 06989P, 12115T & 06990W, MK 18 AT ANG MO KIO AVENUE 1/3 (LUP)-[THIS TEMPORARY PERMIT IS GRANTED FOR LIFT A & B OF BLOCK 233 ONLY]|ALVIN NG YEOH CHUI|201439647|02/01/2014||0|0
A0673-00005-2010-BP01|PROPOSED ALERATION & ADDITION TO EXTG PUBLIC HOUSING DEVELOPMENT WITH NEW LIFTS / LIFT LOBBIES AT JALAN RAJAH (LUP) ON LOT(S) 5356L , 5357C  & 9959X  MK17 AT 101 JALAN RAJAHTHIS TEMPORARY OCCUPATION LICENCE IS ISSUED FOR FOR BLOCK 101 LIFT A ONLY|SIW FER LIN|201439649|02/01/2014||0|0
A0934-00111-2011-BP01|ERECTION OF SINGLE-USER SHIPBUILDING AND SHIP REPAIR FACILITIES AND TEMPORARY ANCILLARY STAFF CANTEENS ON LOT 03759C MK 05 AT 15 PANDAN ROAD [PHASE 2 TOP FOR FACTORY A, FACTORY B AND PART EXTERNAL COVERED CARPARKS ONLY]|KOK YIN LEONG|201439652|02/01/2014|13828.45|17785400|0
A1822-00013-2010-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 974 TO 980 WITH NEW LIFTS/LIFT LOBBIES ON LOT 1709A MK09 AT JURONG WEST STREET 93 (LIFT UPGRADING PROGRAMME)[PARTIAL TOP FOR BLOCK 974 LIFT A ONLY]|CHEONG FOONG YEE|201439654|02/01/2014|2115.48|5644811|0
A2077-00003-2012-BP01|ERECTION OF A 6-STOREY SINGLE-USER WAREHOUSE DEVELOPMENT ON LOT 06563M MK 05 AT 5A TOH GUAN ROAD EAST (CLEMENTI PLANNING AREA)|CHAN CHOON SENG JERRY|201439664|03/01/2014|74320.53|58113000|0
A0647-00253-2010-BP01|LIFT UPGRADING PROJECT OF PUBLIC HOUSING DEVELOPMENT COMPRISING OF 2 BLOCKS OF 4-STOREYS  RESIDENTIAL PUBLIC HOUSING WITH ANCILLARY SHOPS AND EATING HOUSE ON LOT 04458X(PT), 1 BLOCK OF 11/15-STOREYS AND 3 BLOCKS OF 13-STOREYS RESIDENTIAL HOUSING ON LOT 04459L(PT), 04460N(PT), 04461X(PT), 04463C(PT) MK 22 AT HOUGANG AVE 7- (BLK 351-352,354-357)-THIS TOP ISSUED FOR BLK 351  LIFT B & BLK 354 LIFT B ONLY|MR JOHN SEAH SENG NGUAN|201439666|03/01/2014|1611.3|5014289|0
A1849-00003-2012-BP01|ADDITIONS & ALTERATIONS TO EXISTING MATHEMATICS BLOCK WITH OTHER ANCILLARY WORKS TO THE EXISTING UNITED WORLD COLLEGE OF SOUTH EAST ASIA ON LOT 3722V  MK03 AT 1207 DOVER ROAD|LEE CHEE PENG CHRISTOPHER|201439667|03/01/2014|1260.0|600000|0
A1744-00005-2010-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS, 343 TO 346, 349 TO 361, 364, 350A & 355A WITH NEW LIFT / LIFT LOBBIES & ENTRANCE PORCHES AT YISHUN AVENUE 11 / YISHUN RING ROAD (LIFT UPGRADING PROGRAMME) - [THIS TOP IS ISSUED FOR BLOCK 345 - LIFT A, BLOCK 350 - LIFT B, BLOCK 353 - LIFT A, BL0OCK 354 - LIFT A, BLOCK 356 - LIFT B, AND BLOCK 357 - LIFT A ONLY]|CHEONG FOONG YEE|201439669|03/01/2014|1248.14|8182424|0
A0781-00002-2011-BP01|PUBLIC HOUSING DEV'T COMPRISING 2 BLKS OF 16-STOREY & 3 BLKS OF 17-STOREY RESIDENTIAL FLATS (TOTAL 578 UNITS) WITH 1 BLK OF MULTI-STOREY CARPARK, COMMUNAL FACILITIES, PRECINCT PAVILION & ESS AT MONTREAL LINK/SEMBAWANG ROAD - N5 CONTRACT 1B[THIS PARTIAL TOP FOR BLOCK 593B AND 593-ESS ONLY]|MR WONG TOON JIN|201439670|03/01/2014||0|0
A0870-00002-2012-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING HDB PUBLIC HOUSING LAYOUT AT WHAMPOA PRECINCT (BLOCK 83, 84, 94 TO 96 AND 99 TO 101) LUP ON LOTS 09082A , 09083K , 09086L , 09087C , 09088M , 09091M , 09092W , 09093V  & 09094P  MK17 AT WHAMPOA DRIVE(THIS TOP IS GRANTED FOR BLOCK 100 AND 101)|CHOY KAH KIN|201439655|03/01/2014||473100|0
A0398-00005-2008-BP01|CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF 4 BLOCKS OF 20-STOREY RESIDENTIAL FLATS (TOTAL 408 UNITS) WITH SWIMMING POOLS AND COMMUNAL FACILITIES ON LOT 4459W MK 25 AT AMBER ROAD|Lee Shee Koeng|201439671|03/01/2014|58033.05|107300000|408
A0647-00262-2010-BP01|LIFT UPGRADING PROJECT OF PUBLIC HOUSING DEVELOPMENT COMPRISING 12 BLOCKS OF RESIDENTIAL PUBLIC HOUSING (BLOCKS 941 TO 950 AND 952 TO 953)AT JURONG WEST STREET 91 -THIS TEMPORARY PERMIT IS GRANTED FOR BLOCK 942  LIFT B  ,BLOCK 943 LIFT D AND BLOCK 944  LIFT B AT JURONG WEST STREET 91]|JOHN SEAH SENG NGUAN|201439673|03/01/2014||0|0
A1872-00618-2012-BP01|ERECTION OF A 2-STOREY INTERMEDIATE TERRACE HOUSE WITH AN ATTIC AND A OPEN ROOF TERRACE ON LOT 04127L  MK18 AT 15 CLOVER RISE|LEE SONG WEE|201439674|05/01/2014|336.13|700000|1
E3098-00014-2012-BP01|SINGLE STOREY TEMPORARY HOLDING BUILDING AT CARPARK E NANYANG TECHNOLOGICAL UNIVERSITY ON MK08 ON LOTS 00173W, 00174V, 00175P, 00176T, 00177A, 00178K, 00179N, 00180A, 00181K, 00182N, 00183X, 00184L, 00185C, 00186M, MK 09 ON LOTS 00029L, 00384T, 00385A, 00392L, 01285K, 01286N, 01287X, 01288L & 01289C NANYANG DRIVE|TAN KING HEONG|201439675|05/01/2014||0|0
A1674-00277-2012-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING RIVER VALLEY HIGH SCHOOL INVOLVING ADDITION OF CLASSROOMS AT THE ROOF LEVEL OF BLOCK 'F' ON LOTS 01075V, 00905A AND 03742X MK 06 AT 6 BOON LAY AVENUE - THIS TOP IS GRANTED FOR THE 16 CLASSROOM ONLY, EXCLUDING THE MALE AND FEMALE TOILETS|NG HWEE HOON|201439681|06/01/2014|1786.2|730000|0
A0847-00004-2012-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING HDB PUBLIC HOUSING LAYOUT AT SERANGOON PRECINCT (BLOCKS 318 & 319) LUP ON LOTS 09473C, 09474M, 09475W, 09476V, 09478T, 09479A, 09480P, 09481T & 11311N MK18 AT SERANGOON AVENUE 2 ? THIS TOP IS GRANTED FOR LIFT B AT BLOCK 318|HAZEL YEO SOH CHOO|201439686|06/01/2014|188.84|7758300|0
A1152-00026-2011-BP01|ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC ON LOT 03173X MK17 AT 41 WATTEN HEIGHTS|ANDREW LOH CHEE KAN|201439687|06/01/2014|721.36|1710000|0
A1420-00972-2010-BP01|ERECTION OF 2-STOREY DETACHED DWELLING HOUSE WITH ATTIC & SWIMMING POOL ON LOT 05715V & 05716P MK25 AT 98 BRANKSOME ROAD|ONG TZE BOON|201439698|06/01/2014|914.23|3774800|1
A1066-00531-2007-BP01|ERECTION OF A 18-STOREY MIXED DEVELOPMENT COMPRISING OF SHOPS AT 1ST AND 2ND STOREY, CARPARKS FROM 2ND TO 6TH STOREY, SKY TERRACE AND RECREATIONAL FACILITIES AT 7TH STOREY AND RESIDENTIAL FLATS (TOTAL 56 UNITS) FROM 8TH TO 18TH STOREY ON LOT 05113X  MK26 AT 42 EAST COAST ROAD [TOP FOR THE DEVELOPMENT EXCLUDING SHOP-01 AT 1ST STOREY AND SHOP/OFFICE-1 AT 2ND STOREY ONLY]|TANG PEAK KANG|201439735|07/01/2014||0|56
A0426-00001-2010-BP01|PUBLIC HOUSING DEVELOPMENT COMPRISING OF 2 BLOCKS OF 23-STOREY AND 2 BLOCKS OF 23/24-STOREY RESIDENTIAL BUILDING TOTAL 504 UNITS) WITH 1 BLOCK OF 5/6-STOREY MULTI-STOREY CARPARK, ESS, PRECINCT PAVILION & FUTURE COMMUNITY FACILITES ON LOT NO 04624X (OLD LOT NOS 04491A PT & 04297K PT)MK 20 AT SENGKANG WEST WAY (SENGKANG NEIGHBOURHOOD 4 CONTRACT 11) [THIS TEMPORARY OCCUPATION PERMIT IS GRANTED FOR EXTERNAL COMMUNAL FACILITES ON THE GROUND FLOOR ONLY.]|KIM LOH FONG|201439736|07/01/2014||0|0
A1937-00037-2012-BP01|NEW ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 00649N MK18 AT 32 JALAN LANJUT|CASEY CHUA KAE-SHIN|201439754|08/01/2014|279.04|610000|1
E4111-00008-2012-BP01|ADDITIONS AND ALTERATIONS TO EXISTING ONSHORE NATURAL GAS RECEIVING FACILITY AND PIPELINE WORKS ON LOT 05407W MK 13 AT 21 ATTAP VALLEY ROAD|ONG MENG WAN|201439757|08/01/2014|519.19|1500000|0
A1255-01189-2012-BP01|ADDITION OF A SINGLE STOREY  LABORATORY FACILITY AT 1ST STOREY AT GRIDLINE A8 TO A11/Y22 TO Y25 AT BLOCK N3.1 NANYANG TECHNOLOGICAL UNIVERSITY MK08 ON LOTS 00173W, 00174V, 00175P, 00176T, 00177A, 00178K, 00179N, 00180A, 00181K, 00182N, 00183X, 00184L, 00185C, 00186M, MK09 ON LOTS 00029L, 00384T, 00385A, 00392L, 01285K, 01286N, 01287X, 01288L &, 01289C AT NANYANG AVENUE|CHUNG TEIK KEONG|201439758|08/01/2014|571.68|1534053|0
E3060-05400-2010-BP01|RECONSTRUCTION OF THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 05562T MK 22 AT NO 7 SANDILANDS ROAD (HOUGANG PLANNING AREA)|DAVID CHAN SIEW ONN|201439763|08/01/2014|390.34|500000|1
A1278-01229-2012-BP01|ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 98036W MK 27 AT 38 DIDO STREET|MR HO POH KONG|201439768|08/01/2014|271.97|500000|1
A1185-00314-2011-BP01|ERECTION OF 1 UNIT OF 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 99111X MK 18 AT 13 ALNWICK ROAD|STEVEN CHEN ZHI-HUANG|201439769|09/01/2014|516.03|1860000|1
A0704-47804-2011-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 441 TO 455 WITH NEW LIFTS/LIFT LOBBIES ON LOT 13132V MK18 AT SIN MING AVENUE / BRIGHT HILL DRIVE [PHASE 3 TOP FOR BLOCK 453 LIFTS A & B ONLY]|LIM BOON LENG JOHN|201439783|09/01/2014|5440.44|13169300|0
A1278-01169-2011-BP01|ERECTION OF 2 UNITS OF 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSES WITH AN ATTIC EACH ON LOTS 6532N AND 6533X MK26 AT JOO CHIAT PLACE|HO POH KONG|201439785|09/01/2014|570.56|1250000|2
A0647-00253-2010-BP01|LIFT UPGRADING PROJECT OF PUBLIC HOUSING DEVELOPMENT COMPRISING OF 2 BLOCKS OF 4-STOREYS  RESIDENTIAL PUBLIC HOUSING WITH ANCILLARY SHOPS AND EATING HOUSE ON LOT 04458X(PT), 1 BLOCK OF 11/15-STOREYS AND 3 BLOCKS OF 13-STOREYS RESIDENTIAL HOUSING ON LOTS 04459L (PT), 04460N(PT), 04461X(PT), 04463C(PT) MK 22 AT HOUGANG AVE 7 (BLK 351-352,354-357)-THIS TOP IS ISSUED FOR BLK 352 LIFT C ONLY|MR JOHN SEAH SENG NGUAN|201439790|09/01/2014|1611.3|5014289|0
A1404-00323-2010-BP01|CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 5 STOREY RESIDENTIAL FLATS (TOTAL 141 UNITS) WITH AN ATTIC, A BASEMENT CAR PARK AND PROVISION FOR A SWIMMING POOL ON LOT 1904X MK 01 AT WISHART ROAD|CHAN SZE CHIN|201439792|09/01/2014||0|141
A0930-00003-2009-BP01|PUBLIC HOUSING DEVELOPMENT COMPRISING 4 BLOCKS OF 15/16/17-STOREY RESIDENTIAL BUILDING (TOTAL 424 UNITS), 1 BLOCK OF SINGLE-STOREY EATING HOUSE/ SHOPS, 1 BLOCK OF MULTI-STOREY CAR PARK WITH ESS/PRECINCT PAVILION & COMMUNITY FACILITIES (SEMBAWANG N5C1A) AT MONTREAL LINK -  THIS TOP IS ISSUED FOR BLOCK 590 ONLY|MOHD ASADUZ ZAMAN|201439802|09/01/2014||0|0
A1757-00502-2012-BP01|ERECTION OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 700M MK 25 AT 166 MEYER ROAD|CHARLES LIM KIM NGIAP|201439805|09/01/2014|429.4|500000|0
A1656-00002-2010-BP01|PROPOSED MIXED DEVELOPMENT COMPRISING 2 BASEMENT CARPARKS WITH RETAIL USE, INTEGRATED BUS INTERCHANGE,FLAT DEVELOPMENT COMPRISING 8 BLKS OF 15-STOREY RESIDENTIAL APARTMENTS (TOTAL 583 UNITS) WITH 3-STOREY PODIUM COMPRISING 2 -STOREY CARPARKS WITH ANCILLARY FACILITIES INCORPORATING UPN ON LOTS 10724L  MK 27 AT NEW UPPER CHANGI ROAD,  BEDOK NORTH DRIVE - THIS  TOP IS ISSUED FOR THE UNDERGROUND MRT LINKWAY (UNDERGROUND PEDESTRIAN NETWORK AT BASEMENT 2) ONLY|KHOO POH BIN|201439807|10/01/2014|181726.34|300000000|0
A1822-00007-2010-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT, BLOCKS 462 TO 467 WITH NEW LIFTS/LIFT LOBBIES AT JURONG WEST STREET 41 (LIFT UPGRADING PROGAMME) ON LOTS 1907A , 1908K , 1909N , 1928L , 1929C , 1930X , 1931L , 1972A , 1973K , 1977C , 1979W , 1996W , 1997V , 1998P , 1999T , 2000W , 2001V , 2003T , 2005K , 2006N , 2007X , 2008L , 2010X , 2011L , 2012C , 2013M , 2257T , 2258A , 2268W , 2269V , 3701W , 3704T , 3706K , 3708X , 3979X  & 4085P  MK06 - THIS TOP IS GRANTED FOR LIFT A AT BLOCK 462, LIFT B AT BLOCK 463 & LIFT A AT BLOCK 464|CHEONG FOONG YEE|201439813|10/01/2014|2033.96|5636973|0
A1822-00001-2010-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT, BLOCKS 324, 325 & 332 TO 334 WITH NEW LIFTS/ LIFT LOBBIES AT CLEMENTI AVENUE 2/ 5 (LIFT UPGRADING PROGRAMME) ON LOTS 3200P , 3201T , 3202A , 3203K , 3218N , 3219X , 3220K ,3221N , 3353A , 3354K , 3355N , 3356X , 3363W , 3364V , 3365P , 3366T , 3367A , 3368K , 7587A , 8422P & 7592N MK05 - THIS TOP IS GRANTED FOR LIFT A, B, C, D & E AT BLOCK 332, LIFT A, B,C, D & E AT BLOCK 333, LIFT A AT BLOCK 325 & LIFT C AT BLOCK 334|CHEONG FOONG YEE|201439812|10/01/2014|1452.58|5477209|0
A0812-13032-2013-BP01|ERECTION OF TEMPORARY WORKERS' DORMITORIES (1440 WORKERS) CONSISTING OF 3 BLOCKS OF SINGLE-STOREY DORMITORIES ON LOTS  02409W PT, 00881X PT, 99481V PT, 98023L PT, 98022X PT, 98021N PT, 98029T PT AND 97957L PT, MK 23 AT HOUGANG AVENUE 3|CHIONH CHYE LUAY|201439817|10/01/2014|6932.13|3500000|0
A0970-01106-2011-BP01|ERECTION OF 3-STOREY DETACHED DWELLING HOUSE WITH ATTIC, ROOF TERRACE & SWIMMING POOL ON LOT 03534M MK 22 AT NO. 20 KOVAN CLOSE (HOUGANG PLANNING AREA)|DAVID CHAN SIEW ONN|201439900|15/01/2014|706.49|980000|1
A0597-00131-2009-BP01|ERECTION OF A PAIR OF 2-STOREY SEMI-DETACHED HOUSE WITH ONE BASEMENT, ATTIC AND SWIMMING POOL ON LOTS 1185C AND 1186M MK 17 AT NO. 19 AND 21 JALAN UNGGAS|SEAH KWEI HIOK|201439906|16/01/2014|1013.67|3700000|2
A0814-00017-2010-BP01|PUBLIC HOUSING DEVELOPMENT COMPRISING 7 BLOCKS OF 16-STOREY RESIDENTIALBUILDING (TOTAL 675 UNITS) WITH A BLOCK OF MULTI-STOREY CARPARK, COMMUNAL FACILITIES,ESS & PRECINCT PAVILION ON LOT(S) 1995W  MK21 AT ANCHORVALE LINK/ SENGKANG EAST WAY[TOP FOR BLOCK 333C INCLUDING LINKWAY TO BLOCK 333D AND LINKWAY TO BLOCK 332(MSCP) ONLY]|CHOY MENG YEW|201439818|10/01/2014||0|0
A1229-00001-2012-BP01|ERECTION OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 01265V MK 15 AT 79 GREENWOOD AVENUE|WANG CHUN JYE|201439819|10/01/2014|482.52|1200000|1
A1369-00970-2010-BP01|PUBLIC HOUSING DEVT COMPRISING 12 BLKS OF 15-STY RESIDENTIAL BLDG (TOTAL 1400 UNITS) WITH COMMUNITY FACILITIES, 1 BLK OF 6/6-STY & 1 BLK OF 6/7-STY MULTI-STOREY CARPARK, 2 NOS. OF PRECINCT PAVILIONS, ESS & A NEIGHBOURHOOD PARK AT YISHUN AVENUE 9 FOR NEIGHBOURHOOD 3 CONTRACT 23 ON LOT 3069W  MK19 AT YISHUN AVENUE 9[TOP FOR BLK 315A & 315B ONLY]|LOW KONG YEN STEVEN|201439824|10/01/2014|27195.0|24030472|0
A1757-00604-2012-BP01|ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 97178K MK 18  AT 41 CONWAY GROVE|LIM KIM NGIAP|201439828|10/01/2014|340.66|700000|1
A0819-00185-2011-BP01|ERECTION OF A 3-STOREY ASSOCIATION BUILDING WITH A LANDSCAPED ROOF ON LOT 02009A MK 01 AT 91 WISHART ROAD|LEE MUN HOE|201439831|10/01/2014|2530.18|4788000|0
