PROJECT REFERENCE NUMBER|PROJECT TITLE|DATE APPROVED
A0969-01309-2013-CD01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND ROOF TERRACE ON LOT(S) 03636V  MK18 AT 9 JALAN PELAJAU SINGAPORE 808704|17/01/2014
A1653-12250-2013-CD01|PROPOSED ERECTION OF 1 UNIT 2-STOREY DETACHED DWELLING HOUSE WITH BASEMENT AND SWIMMING POOL ON LOT 02092N MK 02 AT 6 CLUNY PARK|17/01/2014
A0843-00016-2013-CD01|PROPSED NEW ERECTION OF A PAIR  OF 2 STOREY SEMI-DETACHED  HOUSESWITH ATTIC FLOOR ON LOT 97955L MK 18 AT 46 BERWICK DRIVE, SINGAPORE 559926|20/01/2014
E2699-00019-2012-CD01|PROPOSED ERECTION OF A 4-STOREY SHOP FLAT DEVELOPMENT COMPRISING A SHOP AT THE FIRST STOREY AND RESIDENTIAL FLAT UNITS ABOVE ON LOT 01142M MK23 AT 319& 319A CHANGI ROAD SINGAPORE 419794 (BEDOK PLANNING AREA) ON LOT 1142 MK23 AT 319, CHANGI ROAD, SINGAPORE 419794|29/01/2014
A1658-00001-2011-CD02|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND AN ATTIC ON LOT NO. 99475L MK15 AT 10 ORCHID DRIVE|24/01/2014
A0930-00013-2012-CD02|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 5 BLOCKS OF 27/40/48-STOREY RESIDENTIAL BUILDING (TOTAL 1232 UNITS) WITH MULTI-STOREY CARPARK, COMMERCIAL / COMMUNITY FACILITIES, ESS & PRECINCT PAVILION AT HENDERSON ROAD / TIONG BAHRU ROAD (BT. MERAH RC53) ON LOT(S) 01012N , 01017W PT, 02355A , 02792N PT & 02887V PT MK01|13/01/2014
A1937-00033-2012-CD02|PROPOSED NEW ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH ASWIMMING POOL AT 44 BINJAI PARK ON LOT(S) 99971V  MK16 AT 44 BINJAI PARK SINGAPORE 589844|20/01/2014
A0673-00010-2012-CD03|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 6 BLOCKS OF 16-STOREY RESIDENTIAL BUILDING (TOTAL 652 UNITS) WITH MULTI-STOREY CARPARK, PRECINCT PAVILION, ESS AND COMMUNITY FACILITIES AT WOODLANDS DRIVE 50 (WOODLANDS N8 C21) ON LOT(S) 05877A PT MK13|17/01/2014
A0673-00009-2012-CD03|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 3 BLOCKS OF 31/32-STOREY RESIDENTIAL BUILDING (TOTAL 712 UNITS) WITH MULTI-STOREY CAR PARK, PRECINCT PAVILION, ESS AND COMMUNITY FACILITIES AT ANG MO KIO AVENUE 3/STREET 51 (ANG MO KIO N5C26) ON LOT(S) 14830C PT & 16988V PT MK18 AT 590B ANG MO KIO STREET 51 #32-00 SINGAPORE 562590,  591A ANG MO KIO STREET 51 #32-00 SINGAPORE 561591,  590(MSCP) ANG MO KIO STREET 51 #6-00 SINGAPORE 560590,  590A ANG MO KIO STREET 51 #31-00 SINGAPORE 561590|17/01/2014
A1378-01233-2013-CD04|PROPOSED NEW ERECTION OF EXECUTIVE CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 9 BLOCKS OF 15-STOREY RESIDENTIAL BUILDINGS (TOTAL 506 UNITS) WITH BASEMENT CARPARKS, SWMMING POOL AND COMMUNAL FACILITIES AT SEMBAWANG CRESCENT / SEMBAWANG DRIVE ON LOT(S) 06037C  MK13|24/01/2014
A1553-00110-2013-CD01|PROPOSED NEW ERECTION OF 4 UNITS OF 2-STOREY STRATA TITLED DETACHED DWELLING HOUSES WITH BASEMENT CARPARK AND ATTIC ON LOT 98486M MK 25 AT 737 MOUNTBATTEN ROAD (MARINE PARADE PLANNING AREA)|09/01/2014
A0562-01305-2013-CD01|PROPOSED ERECTION OF A 2- STOREY DETACHED DWELLING HOUSE WITH BASEMENT AND AN ATTIC ON LOT 01855V MK 25 AT 82 GOODMAN ROAD|12/01/2014
A1937-00049-2013-CD02|PROPOSED NEW ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSEWITH AN ATTIC AT 56 JALAN LEBAN ON LOT(S) 01602P  MK18|08/01/2014
A1422-00601-2013-CD01|PROPOSED ERECTION OF A 3 STOREY SEMI-DETACHED DWELLING HOUSE WITH A SWMMING POOL ON LOT 98562L MK 22 AT 6 EATON PLANCE (HOUGANG PLANNING AREA)|21/01/2014
A0506-00052-2011-CD03|PROPOSED NEW ERECTION OF PUBLIC HOUSING DEVELOPMENT COMPRISING 2 BLOCKS OF 12/13-STOREY RESIDENTIAL FLATS (TOTAL 289 UNITS) AND 1 BLOCK OF 6/6 STOREY MULTI-STOREY CARPARK ON LOT 04799X [03613K PT] MK 31 AT TAMPINES STREET 43|07/01/2014
A1324-20008-2013-CD01|PROPOSED 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC  ON LOT 06059C MK 26 AT NO.16 LORONG M TELOK KURAU,SINGAPORE|10/01/2014
A0454-00451-2013-CD01|PROPOSED RECONSTRUCTION TO AN EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ADDITION OF AN ATTIC ON LOT 02199L MK 18 AT 61 JALAN KELI|15/01/2014
A1956-80051-2013-CD01|PROPOSED NEW ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH A BASEMENT AND AN ATTIC ON LOT 02588T MK04 AT 47 MOUNT SINAI AVENUE, SINGAPORE 277185 (BUKIT TIMAH PLANNING AREA)|21/01/2014
A1702-00006-2013-CD01|PROPOSED NEW ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC AT 29 MARSHALL ROAD ON LOT(S) 98457P  MK26 AT 29 MARSHALL ROAD SINGAPORE 424863|08/01/2014
A1969-00106-2013-CD01|PROPOSED NEW ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC ON LOT 01588V, MK 18 AT 84 JALAN LEBAN ON LOT 01588V MK18|02/01/2014
A1653-11187-2011-CD02|PROPOSED ERECTION OF 1 UNIT OF 2-STOREY DETACHED DWELLING HOUSE WITH SWIMMING POOL ON LOT 99385K AND 99379P TS 25 AT 131 STEVENS ROAD|29/01/2014
A1235-00105-2013-CD01|PROPOSED ERECTION OF 2 UNITS OF 2-STOREY DETACHED DWELLING HOUSES WITH PART BASEMENT AND SWIMMING POOL ON LOT 05312T , MK 04 AT NO.72 GREENLEAF VIEW|29/01/2014
A1334-00002-2013-CD02|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT, AN ATTIC, AND  PROVISION OF A SWIMMING POOL ON LOT 99166X, MK 04 AT NO. 1 ASTRID HILL (BUKIT TIMAH SOUTH 2)|29/01/2014
A1694-00240-2013-CD02|PROPOSED ERECTION OF 10 UNITS OF 3-STOREY STRATA LANDED TERRACE HOUSES WITH SWIMMING POOL, BASEMENT CARPARK AND ROOF TERRACE ON LOT 3792V MK 23 AT 63 PAYA LEBAR CRESCENT (HOUGANG PLANNING AREA)|06/01/2014
A1800-00224-2013-CD01|PROPOSED NEW ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC AND ROOF TERRACE MK27 ON LOT  98043A AT 24 , DIDO STREET (BEDOK PLANNING AREA)|27/01/2014
A1750-00167-2013-CD01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH ATTIC AND SWIMMING POOL ON LOT 03269L MK 4 AT2 GROVE CRESCENT SINGAPORE 279147|10/01/2014
A1286-00005-2011-CD04|PROPOSED RESIDENTIAL/ COMMERCIAL DEVELOPMENT COMPRISING 11 RESIDENTIAL  BLOCKS OF  11, 12, 13 & 14-STOREY (TOTAL 992 UNITS) WITH COMMERCIAL DEVELOPMENT AT B1, B2, B3,1ST & 2ND STOREY, 5-STOREY BASEMENT CARPARKS, SWIMMING POOL AND ANCILLARY FACILITIES ON LOT 02413M MK 21 AT PUNGGOL CENTRAL / PUNGGOL WALK|15/01/2014
A1832-00001-2011-CD04|PROPOSED EXECUTIVE CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF 8 BLKS OF 11 / 12-STOREY RESIDENTIAL BUILDING (TOTAL 416 UNITS) WITH SEMI-BASEMENT CARPARK, 1 BLK OF ESS & LANDSCAPE DECK WITH  COMMUNAL/ ANCILLARY  FACILITIES ON MK 31 LOT 4755L AT PASIR RIS DRIVE 3 / PASIR RIS RISE ( PASIR RIS PLANNING AREA) ON LOT(S) 04755L  MK31 AT 31 PASIR RIS LINK SINGAPORE 518153,  19 PASIR RIS LINK SINGAPORE 518167,  27 PASIR RIS LINK SINGAPORE 518151,  25 PASIR RIS LINK SINGAPORE 518150,  21 PASIR RIS LINK SINGAPORE 518168,  29 PASIR RIS LINK SINGAPORE 518152,  35 PASIR RIS LINK SINGAPORE 518155,  23 PASIR RIS LINK SINGAPORE 518169,  33 PASIR RIS LINK SINGAPORE 518154|08/01/2014
A1108-00003-2013-CD02|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 2 BLOCKS OF 14-STOREY RESIDENTIAL BUILDING (TOTAL 310 UNITS), 1 BLOCK OF MULTI-STOREY CAR PARK WITH ESS AND SENIOR ACTIVITY CENTRE & PRECINCT PAVILION ON LOT(S) 1548X PT, 1680P  & 1682A PT MK19 AT YISHUN RING ROAD SINGAPORE 760801|08/01/2014
A1351-00656-2013-CD01|PROPOSED ERECTION OF A 2 STOREY GOOD CLASS BUNGALOW WITH A BASEMENT AND AN ATTIC ON LOT 04105X MK04 AT 290 HOLLAND ROAD,SINGAPORE 278626|21/01/2014
A1553-00109-2012-CD03|PROPOSED ERECTION OF 4 BLOCKS OF 5-STOREY RESIDENTIAL FLATS (TOTAL 139 UNITS) WITH BASEMENT CARPARK, ATTIC WITH COMMUNAL AREA AND COMMUNAL SWIMMING POOL ON LOT 4844L, 3377K, 3378N, 3954T, 6297K MK 24 AT BARTLEY ROAD (SERANGOON PLANNING AREA) ON LOT 3377K, 3378N, 3954T, 4844L, 6297K MK24 AT , BARTLEY ROAD, SINGAPORE 539763|29/01/2014
A0781-00007-2007-CD01|PROPOSED COMMERCIAL & RESIDENTIAL DEV'T COMPRISING 1 BLK OF 54-STY FLATS (510 UNITS), 1 BLK OF 23-STY OFFICE BLDG, 2 BASEMENTS (M&E, CAR PARK & SERVICES),  7-STY  PODIUM (2-STY COMMERCIAL & 5-STY CAR PARKS) WITH SWIMMING POOL & COMMUNAL FACILITIES ON LOT 00080T TS 30 AT NO. 5 SHENTON WAY (DOWNTOWN CORE PLANNING AREA)|07/01/2014
A1274-00883-2009-CD02|PROPOSED RECONSTRUCTION OF EXISTING 2-STOREY CORNER TERRACE HOUSE TO 3-STOREY HOUSE WITH PROVISION OF AN ATTIC ON LOT 2178K MK26 AT 27 CEYLON ROAD SINGAPORE 429620 (GEYLANG PLANNING AREA)|15/01/2014
A1127-00080-2013-CD01|PROPOSED ERECTION OF 1 UNIT OF 3 STOREY CORNER TERRACE HOUSE WITH ATTIC & ROOF TERRACE ON LOT(S) 04584P  & 07185C  MK25 AT 15B SERAYA ROAD SINGAPORE 437254|08/01/2014
A0781-00009-2011-CD03|PROP.PUBLIC HOUSING DEVT.COMPRISING 9 BLKS OF 13/18-STY,8/15-STY,16-STY & 17-STY RESI. BLDGS (TOTAL:1016 UNITS) WITH 1 BLK OF 8/8 STY MSCP,1 BLK OF 2-STY COMMERCIAL BLDG,ESS,PRECINCT  PAVILIONS,FCF & CHILDCARE  @ PUNGGOL EAST C41 AND COMMON GREEN @ EDGEFIELD PLAINS/PROP.SEMI-E'WAY ON LOT(S) 1184K PT, 1745A PT, 2364K PT, 99730C PT & 99731M PT MK21|15/01/2014
A0814-00013-2013-CD01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 1 BLOCK OF 16-STOREY RESIDENTIAL BUILDING (TOTAL 149 UNITS) WITH A BLOCK OF MULTI-STOREY CARPARKCOMPRISING SENIOR ACTIVITY CENTRE AND PRECINCT PAVILION AT JURONG WEST STREET 71 (JURONG WEST N7 C15) ON LOT(S) 717WPT PT MK09|24/01/2014
A0889-00104-2013-CD01|PROPOSED NEW ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 98181A MK 26 AT NO. 18 JAGO CLOSE, SINGAPORE 428434 [MARINE PARADE PLANNING AREA]|12/01/2014
A2082-11150-2013-CD01|PROPOSED ERECTION OF A 3 STOREY SEMI-DETACHED DWELLING HOUSE WITHAN OPEN ROOF TERRACE ON LOT 3828A, MK 28 AT 43 SEA BREEZE ROAD|13/01/2014
A1450-01127-2011-CD04|PROPOSED ERECTION OF A BLOCK OF 15 STOREY RESIDENTIAL FLAT DEVELOPMENT (TOTAL : 74 UNITS) WITH PENTHOUSES, SKY TERRACE, SWIMMING POOL, CAR PARKS AT BASEMENT 1 & MECHANICAL CAR PARK AT BASEMENT 2 TS 29 ON LOTS 00606X & 00607L -PT AT 8 BASSEIN ROAD (NOVENA PLANNING AREA)|14/01/2014
A2085-00143-2013-CD01|PROPOSED ERECTION OF STRATA LANDED HOUSING DEVELOPMENT (TOTAL 27 UNITS) OF 3-STOREY STRATA TERRACE HOUSES WITH BASEMENT AND SWIMMING POOL ON MK22 LOT 01811M,05547K & 05546A-PT AT SURIN AVENUE (HOUGANG SOUTH PLANNING AREA) ON LOT(S) 01811M , 05546A PT & 05547K  MK22 AT SURIN AVENUE SINGAPORE 535576|24/01/2014
A1450-01305-2013-CD01|PROPOSED ERECTION OF A 2 STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND A SWIMMING POOL ON LOT99302T MK 15 AT 15 CASSIA DRIVE (BUKIT TIMAH PLANNING AREA)|23/01/2014
A1758-08011-2013-CD02|PROPOSED RECONSTRUCTION OF EXISTING SINGLE STOREY TO 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ROOF TERRACE ON LOT 98893M MK 22 AT 41B HILLSIDE DRIVE SINGAPORE 548970 (HOUGANG PLANNING AREA)|27/01/2014
A1674-00276-2012-CD02|PROPOSED RECONSTRUCTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE TO A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 04746T MK 25 AT 9 WIMBORNE ROAD (MARINE PARADE PLANNING AREA)|21/01/2014
A1698-00323-2012-CD05|PROPOSED ERECTION OF 2 BLOCKS OF 38/34 STOREYS AND 20 STOREYS CONDOMINIUM (TOTAL738 UNITS) WITH LANDSCAPE DECK, SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 08773X MK 05 AT BOON LAY WAY/GATEWAY DRIVE (JURONG EAST PLANNING AREA)|03/01/2014
A1217-00375-2012-CD03|PROPOSED ERECTION OF A 1 BLOCK OF 8 STOREY RESIDENTIAL FLAT DEVELOPMENT WITH ATTIC (TOTAL 26 UNITS), MECHANICAL CAR PARKS AND PROVISION FOR A SWIMMING POOL MK25 ON LOTS 01408T, 01409A, 96394W, 96395V AT 8-14  LORONG 40 GEYLANG (GEYLANG PLANNING AREA)|15/01/2014
A1716-00001-2012-CD02|PROPOSED ERECTION OF EXECUTIVE CONDOMINIUM DEVELOPMENT COMPRISING 8 BLOCKS OF 16-STOREY RESIDENTIAL BUILDING (TOTAL : 512 UNITS) WITH 2-LEVEL OF BASEMENT CARPARK, TENNIS COURT, SWIMMING POOL, LANDSCAPE DECK, CLUBHOUSE & COMMUNAL FACILITIES AT PUNGGOL WALK ON LOT(S) 02540T  MK21|03/01/2014
A1287-00005-2012-CD04|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 6 BLOCKS OF 12 STOREY, 1 BLOCK OF 11 STOREY AND 2 BLOCKS OF 10 STOREY RESIDENTIAL BUILDING (TOTAL : 726 UNITS) WITH 2 BASEMENT CARPARKS, TENNIS COURT, SWIMMING POOL, CLUBHOUSE FACILITIES AND SHOPS AT BEDOK RISE ON LOT(S) 10896V  MK27|08/01/2014
A1404-00335-2011-CD02|PROPOSED ERECTION OF A BLOCK OF 8-STOREY FLAT (TOTAL 39 UNITS) WITH SKY TERRACE AT 2ND STOREY,  SURFACE AND MECHANICAL CAR PARKS AND PROVISION FOR A SWIMMING POOL AT LORONG 6 GEYLANG ON LOT(S) 03898N  MK25 AT LORONG 6 GEYLANG SINGAPORE 399187|08/01/2014
A1276-00435-2008-CD07|PROPOSED ERECTION OF 5-STOREY RESIDENTIAL FLAT WITH AN ATTIC (TOTAL 72 UNITS) WITH MECHANIZED CARPARK AT 1ST STOREY AND SWIMMING POOL AT ATTIC LEVEL ON LOTS 05868T & 05624M MK 25AT 74, LIM AH WOO ROAD (GEYLANG PLANNING AREA)|14/01/2014
A1631-01200-2013-CD01|PROPOSED NEW ERECTION OF A  2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH A NEW ATTIC FLOOR ON LOT 1929W MK 22 AT NO. 11 LORONG 6 REALTY PARK (HOUGANG PLANNING AREA)|20/01/2014
A1614-00367-2013-CD01|PROPOSED ERECTION OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 6121C MK18 AT 14 THOMSON HEIGHTS|24/01/2014
A1024-00001-2012-CD04|PROPOSED CLUSTER HOUSING DEVELOPMENT COMPRISING 18 UNITS OF 3-STOREY TERRACE HOUSE WITH ATTIC AND BASEMENT CARPARK AND COMMUNAL FACILITIES ON LOT 01013T PT AND 02471X MK 22 AT CHARLTON LANE / UPPER SERANGOON ROAD|28/01/2014
A1369-01358-2012-CD02|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 2 BLOCKS OF17/18-STOREY AND 4 BLOCKS OF 16/17-STOREY RESIDENTIAL BUILDING(TOTAL 598 UNITS) WITH 1 BLOCK OF MULTI-STOREY CAR PARK,PRECINCT PAVILION, COMMERCIAL & COMMUNITY FACILITIES ONLOT 02435A PT MK 21 AT COMPASSVALE BOW / SENGKANG EAST ROAD(SENGKANG N2 CONTRACT 42) ON LOT(S) 2435A PT MK21|03/01/2014
A1413-00012-2013-CD01|PROPOSED RECONSTRUCTION OF EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH A NEW ATTIC ON LOT 07607N MK 18 AT 23 MEI HWAN CRESCENT|02/01/2014
A1199-13003-2013-CD01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 02791A MK 18 AT 34 JALAN SINDOR|07/01/2014
A1378-01229-2013-CD04|PROPOSED NEW ERECTION OF EXECUTIVE CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF 6 BLOCKS OF 18-STOREY RESIDENTIAL BUILDINGS (TOTAL 373 UNITS) WITH BASEMENT CARPARKS, SWIMMING POOL ,LANDSCAPE DECK AND COMMUNAL FACILITIES ON LOT 02558X MK21 AT PUNGGOL FIELD WALK/PUNGGOL EAST|17/01/2014
A1422-00802-2013-CD02|PROPOSED NEW ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC ON LOT 01735V MUKIM 18 AT NO 30, JALAN TELANG SINGAPORE 576700 (BISHAN PLANNING AREA)|22/01/2014
A1788-00012-2012-CD02|PROPOSED NEW ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT ON LOT 99007P MK 04 AT NO. 47 OEI TIONG HAM PARK SINGAPORE 267052 (BUKIT TIMAH PLANNING AREA)|29/01/2014
A0901-00004-2010-CD04|PROPOSED ERECTION OF 2 BLOCK OF 19-STOREY CONDOMINIUM FLATS DEVELOPMENT (TOTAL 85 UNITS) WITH 2 BASEMENT CARPARKS, SWIMMING POOL AND COMMUNAL FACILITIES AT LENGKOK ANGSA/ PATERSON ROAD ON LOT(S) 1409N , 1410A , 370X , 371L , 372C , 373M , 374W , 375V , 382K , 383N , 384X , 385L , 386C , 387M , 488L , 533C , 535W , 537P , 539A  & 623M  TS21|30/01/2014
A0964-00331-2013-CD01|PROPOSED NEW ERECTION OF 2 STOREY DETACHED HOUSE WITH ATTIC AND ROOF TERRACE ON LOT MK04-00344T AT 12 HOLLAND GROVE TERRACE SINGAPORE 278776|30/01/2014
A1365-02283-2007-CN02|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 4 BLOCKS (E1, E2, E3 & F) OF 3 STOREY FLATS AND 6 BLOCKS ( A, B, C, D, G & H) OF 5 STOREY FLATS (TOTAL 393 UNITS) WITH BASEMENT CARPARKS AND COMMUNAL FACILITIES ON LOT 06495W MK 27 AT 474 SIGLAP ROAD , FLAMINGO VALLEY, SINGAPORE 454945|23/01/2014
A1370-00007-2010-CN01|PROPOSED CONDOMINIUM DEVELOPMENT COMPRISING 5 BLOCKS OF 15-STOREY RESIDENTIAL FLATS WITH A BASEMENT CAR PARK - 361 UNITS, SWIMMING POOL AND ANCILLARY FACILITIES ON LOT07135M MK 28 , AT BEDOK RESERVOIR ROAD|28/01/2014
A1533-00007-2012-CN01|PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE WITH AN ATTIC ON  LOT 97224X MK 18, 71, CARISBROOKE GROVE, SINGAPORE 558848|22/01/2014
A1841-00005-2011-CN01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND SWIMMING POOL ON  LOT03125M MK 02, NO. 3, PEIRCE HILL, SINGAPORE 248560|09/01/2014
A0814-00017-2010-CN05|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 7 BLOCKS OF 16-STOREY RESIDENTIALBUILDING (TOTAL 675 UNITS) WITH A BLOCK OF MULTI-STOREY CARPARK, COMMUNAL FACILITIES,ESS & PRECINCT PAVILION. ON LOT 1995W MK21|30/01/2014
A1164-00002-2008-CN02|PROPOSED ERECTION OF A CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 1 TOWER OF 36-STOREY RESIDENTIAL FLAT (TOTAL 157 UNITS) WITH BASEMENT CARPARKS, MULTI-STOREY CARPARKS, SWIMMING POOLAND COMMUNAL FACILITES ON LOTS 5817M, 5820M, 5488N, 5489X, 4981L, 4980X MK 17 ON LOT 4980X, 4981L, 5488N, 5489X, 5817M, 5820M MK17|30/01/2014
A1027-01004-2010-CN03|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 3 BLOCKS OF 18-STOREYS RESIDENTIAL BUILDING (TOTAL 629 UNITS) WITH SWIMMING POOL, LANDSCAPE DECK, COMMUNAL FACILITIES AND BASEMENT CAR PARKS ON LOT 04442T MK06 AT LAKESIDE DRIVE (JURONG WEST PLANNING AREA) ON LOT 04442T MK06 AT , BOON LAY WAY, SINGAPORE 000000|30/01/2014
A1937-00013-2011-CN01|PROPOSED ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSEWITH AN ATTIC AND A BASEMENT AT 79 JALAN TARI PIRING ON LOT 01018N MK20 AT 79, JALAN TARI PIRING, SINGAPORE 799230|30/01/2014
A1937-00015-2011-CN01|PROPOSED NEW ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC AND A BASEMENT AT 77 JALAN TARI PIRING ON LOT 01019X MK20 AT 77, JALAN TARI PIRING, SINGAPORE 799229|30/01/2014
A1276-00482-2009-CN01|PROPOSED ERECTION OF 7- STOREY MIXED-USE (26 SHOP UNITS AND 121 RESIDENTIAL UNITS) WITH 1 BASEMENT CAR PARKING (SURFACE & MECHANISED) & ATTIC AND SWIMMING POOL AT 428-434 RIVER VALLEY ROAD LOT99742K, LOT99754T, LOT99795M, LOT99736P, TS 24 LOT99737T, 428-434, RIVER VALLEY ROAD, SINGAPORE 248327|02/01/2014
E2582-00012-2011-CN01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE ON LOT 96462N MK 17 AT 4 CHILTERN DRIVE, SINGAPORE 359721|15/01/2014
