TITLE|BUILDER|PROFESSIONAL ENGINEER|ARCHITECT
PROPOSED ADDITION AND ALTERATION INVOLVING BASEMENT TO LEVEL 5 OF EXISTING MARINA SQUARE COMPLEX AND PROPOSED NEW ERECTION OF SHOPPING MALL EXTENSION ON LOT 357L, 358C & 605N TS11 AT 6 RAFFLES BOULEVARD (DOWNTOWN PLANNING AREA)|ADRIAN ANG , MERO ASIA PACIFIC PTE LTD|D.A. GUNASEELAN|TOH SZE CHONG
PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING 2-STOREY 230KV SUBSTATION, NEW ERECTION OF A TRANSFORMER BAY/NGR BAYS AND DEMOLITION OF AN EXISTING CARETAKER QUARTER ON MK29-00999T AT TAMPINES LINK(TAMPINES PLANNING AREA) ON LOT 00999T MK29 AT TAMPINES LINK|Tan Cheng Mong , Tian Fu Construction & Engineering Pte Ltd|Liau Wai Kun|
PROPOSED CONSTRUCTION OF DROP-OFF POINT AT BLK 535 & 536 ANG MO KIO AVE 10 ON LOTS 07862A & 07859A MK 18|YEE BENG KUAN , YEE CONSTRUCTION AND RENOVATION PTE LTD|LENG KWEK MIN|TAY POH LOONG
PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING 2-STOREY SHOPHOUSE WITH SHOP AT 1ST-STOREY AND RESIDENTIAL DWELLING UNIT ON 2ND-STOREY (TOTAL 1 UNIT) ON LOT 00632P MK 17 AT 11 RUBY LANE|THET TUN AUNG , YEW SENG HENG CONSTRUCTION PTE LTD|NG DICK YOUNG|NG DICK YOUNG
PROPOSED EXTENSION TO EXISTING DROP-OFF POINTAT BLK 518 SERANGOON NORTH AVENUE 4 ON LOT 16856T MK18|YEE BENG KUANG , YEE CONSTRUCTION AND RENOVATION PTE LTD|LENG KWEK MIN|TAY POH LOONG
PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING DETACHED FACTORY ON LOT 03241W MK 07 AT NO 20 TUAS WEST AVENUE.|Myo Aung , Shiang May Construction Works Pte Ltd|CHAN WAI MUN|
PROPOSED ERECTION OF A PART 1-STOREY/ PART 2-STOREY SINGLE-USER INDUSTRIAL DEVELOPMENT (BUSINESS 2) AT TUAS SOUTH AVENUE 10/ TUAS SOUTH AVENUE 7 ON LOT 04020W MK07 AT TUAS SOUTH AVENUE 7|LOH BOON CHONG , CS CONSTRUCTRUCTION & GEOTECHNIC PTE LTD|LAUW SU WEE|FRANCIS HWANG HUAT KUONG
PROPOSED SHELTER TO OUTDOOR REFRESHMENT AREA (ORA) TO EXISTING EATING HOUSE ON LOT 03637V MK 31 AT BLOCK446 PASIR RIS DRIVE 6 (#01-128) SINGAPORE 510446|TANG SOO TECK , HILLTOP CONTRACTOR PTE LTD|CHEONG KUAN LEONG|
PROPOSED EXTENSION AND ADDITIONS & ALTERATIONS TO EXISTING CHIJ ST NICHOLAS GIRLS' SCHOOLON LOT (S) 09357P & 11200V MK18 AT 501 ANG MO KIO ST 13 / ANG MO KIO AVENUE 2 SINGAPORE|WOON WEE PHONG , WELLTECH CONSTRUCTION PTE LTD|WU RUIXIN|
PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING NATIONAL JUNIOR COLLEGE BOARDING SCHOOL INCLUDING ADDITION OF TREEHOUSE ON LOT 02443M MK 15 AT 41 HILLCREST ROAD (BUKIT TIMAH PLANNING AREA)|LIANG CHIN YEEN , FRONTBUILD ENGINEERING & CONSTRUCTION PTE LTD|Chan Seng Tah|MS NG HWEE HOON
PROPOSED LANDED HOUSING DEVELOPMENT (PHASE 2J) COMPRISING 40 UNITS OF 3-STOREY TERRACE HOUSES AND 2 UNITS OF 3-STOREY SEMI-DETACHED HOUSES ON LOTS 2459 PT AND 200N MK 10 AT BUKIT BATOK RD|ONG LEE HENG , SEAH CONSTRUCTION PTE LTD|LIM CHIN PAU|LEE KUAN BOON
PROPOSED ERECTION OF A BLOCK OF 8-STOREY RAMP-UP MULTI-USER B1 LIGHT INDUSTRIAL FACTORY (TOTAL:238 UNITS) AND WAREHOUSE DEVELOPMENT (TOTAL: 37 UNITS) WITH AN ANCILLARY STAFF CANTEEN AND TWO BLOCKS OF 3-STOREY TERRACE MULTI-USER B1 LIGHT INDUSTRIAL FACTORY  ON LOT 17411P MK18 AT ANG MO KIO STREET 62|YE YANLI , Kao Lee Aluminium Industrial Pte. Ltd|CHEONG KUAN LEONG|MIKE LEE TECK FOO
PROPOSED ADDITION AND ALTERATION WORKS TO EXISTING SINGLE-USER GENERAL INDUSTRIAL DEVELOPMENT AND ERECTION OF A 3-STOREY FACTORY AND 4-STOREY TEMPORARY ANCILLARY WORKERS' DORMITORY BLOCK (TOTAL: 500 WORKERS) ON LOT 00625N MK 7 AT 68 JOO KOON CIRCLE (PIONEE|CHAN YEW TECK , TANGLIN CORPORATION PTE. LTD.|GARY NG WEE GIAP|IAN ROBERT LANDER
PROPOSED ERECTION OF A 3-STOREY SUBSTATION AND SINGLE-STOREY PUMPHOUSE WITH UNDERGROUND STORAGE TANK ON LOT 04594L (PT) MK 31 AT AIRPORT BOULEVARD, SINGAPORE CHANGI AIRPORT|CHUA KOK LIANG , UES HOLDINGS PTE LTD|LAU TUNG NGIU|
PROPOSED EXECUTIVE CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF 8 BLKS OF 11 / 12-STOREY RESIDENTIAL BUILDING (TOTAL 416 UNITS) WITH SEMI-BASEMENT CARPARK, 1 BLK OF ESS & LANDSCAPE DECK WITH  COMMUNAL/ ANCILLARY  FACILITIES ON MK 31 LOT 4755L AT PASIR RIS ON LOT 04755L MK31 AT 19 PASIR RIS LINK, 21 PASIR RIS LINK, 23 PASIR RIS LINK, 25 PASIR RIS LINK, 27 PASIR RIS LINK, 29 PASIR RIS LINK, 31 PASIR RIS LINK, 33 PASIR RIS LINK, 35 PASIR RIS LINK|SIEW TIAN PONG , GREATEARTH CONSTRUCTION PTE LTD|TAN MENG LIANG|YUEN YI MAY
PROPOSED UGRADING OF SHANGRI-LA AND ELLINTON PARKS FOR ESTATE UPGRADING PROGRAMME (EUP) BATCH 6 AT KEBUN BARU VILLAS ESTATE ON LOT 08957L, 08958C, 09696C, 14589X, 14590K & 14591N MK18 AT TEMP ROAD NAME|HELYZER LACSINA , JEI FONG ENGINEERING PTE. LTD.|LENG KWEK MIN|TAY POH LOONG
PROPOSED ADDITION & ALTERATION INVOLVING RECONSTRUCTION OF A SINGLE-STOREY CHANGING ROOM FACILITY WITH  EXERCISE ROOMS AND STOREROOMS ON LOT 06815X MK 25 AT STADIUM BOULEVARD (KALLANG PLANNING AREA)|HAR WENG HOONG , E DEVELOP PTE LTD|ER CHIA WAI MUN|HIA HUI KIM
PROPOSED ERECTION OF A 6-STOREY RESIDENTIAL FLATS WITH AN ATTIC (TOTAL 45 UNITS) AND COMMERCIAL SHOPS (TOTAL 8 UNITS) WITH SWIMMING POOL, MECHANICAL CARPARKS AND COMMUNAL FACILITIES ON LOTS 99368K & 99364V TS 18 AT 23-26 RACE COURSE LANE(HOUGANG PLANNING A|CHONG KIM GUAN , SYSMA CONSTRUCTION PTE LTD|ER DR YONG DEUNG MING|LEOW JONG KEE
PROPOSED ERECTION OF 1 BLOCK OF 35 STOREY FLATS (TOTAL 105 UNITS) WITH A SURFACE AND MULTI-STOREY CAR PARKS AND SKY TERRACE AND PROVISION FOR A SWIMMING POOL ON LOT 937V TS 21 AT RIVER VALLEY CLOSE (RIVER VALLEY PLANNING AREA)|SOONG KAR LEONG , SINOTAC BUILDER'S (S) PTE LTD|Koh Bock Cheng|HO SEOW HUI
PROPOSED NEW ERECTION OF A 2 STOREY DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 99463M MK 15 AT NO.7 CARNATION DRIVE|Chua Wah Ngee Alan , Beng Hwa Builders Pte Ltd|Alec Chew Khek Han|VINCENT LIM CHEW MENG
PROPOSED ADDITIONS AND ALTERATIONS (FOR TENANCY WORKS)   INVOLVING  DUPLEX CONVERSION TO TENANCY UNITS #B1-103/104/105/106  AND #B2-075/076/077/078 OF APPROVED MARINA BAY SANDS INTEGRATED RESORT ON LOT 342V, 349L, 382X, 70008M, 70010C, 70011M, 70014P, 70015T, 70017K & 80026W TS30 AT 2 BAYFRONT AVENUE|TANG HONG TENG , KINGSCO CONSTRUCTION LLP|TAN KHENG SOON|TONY ANG KONG SIONG
PROPOSED CONDOMINIUM DEVELOPMENT COMPRISING OF 2 BLOCKS OF 30-STOREY APARTMENT FLAT (TOTAL 175 UNITS) WITH PROVISION FOR 1 BLOCK OF 6-DECKS OF MULTI-STOREY CAR PARK, 2 LEVELS SKY TERRACES, SWIMMING POOL AND OTHER COMMUNAL FACILITIES ON LOT 827A TS 28 AT KH|ALLAN LIQUICIA GUILING , KOH BROTHERS BUILDING & CIVIL ENGINEERING CONTRACTOR (PTE.) LTD.|Ng Soon Hua|LOW KONG YEN STEVEN
PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING SINGLE STOREY FACTORY INVOLVING THE ADDITION OF OVERHEAD CRANES ON LOT 0593V MK07 AT 7 GUL LANE|QUAN YING SAU , TEO & HONG CONSTRUCTION PTE. LTD.|TAI TAN YIN|TAI TAN YIN
PROPOSED REPLACEMENT OF EXISTING FULL-HEIGHT GLASS PANEL AT UNIT #08-20 COSTA DEL SOL CONDOMINIUM ON LOT 10091C MK 27 AT 76 BAYSHORE ROAD SINGAPORE 46990|TENG SIOK KHIM JASLINE , SKL PTE LTD|KONG KAM CHEONG|
PROPOSED CONDOMINIUM DEVELOPMENT AT 1 JALAN REMAJA ON LOT 01498T MK10 AT 1 JALAN REMAJA|KWAY JIN TECK , BENG SIEW CONSTRUCTION PTE LTD|NGAN SEE PYNG|MOHAN SHANMUGAM
CONTRACT 929A - CONSTRUCTION AND COMPLETION OF TUNNELS BETWEEN UBI AND KAKI BUKIT STATIONS AND RECEPTION TUNNELS FOR DOWNTOWN LINE STAGE 3 AT TEMP ROAD NAME|KOYAMA TOSHIKI , NISHIMATSU CONSTRUCTION CO., LTD.|CHUA KONG YEOW,LAU WEI HING|
PROPOSED ERECTION OF A SINGLE-STOREY GENERAL INDUSTRIAL FACTORY FOR SORTING YARD FOR RECYCLE MATERIALS AND A 3-STOREY ANNEX BUILDING WITH TEMPORARY ANCILLARY STAFF CANTEEN, ANCILLARY OFFICE AND TEMPORARY ANCILLARY WORKERS' DORMITORY (FOR 14 WORKERS) ON LOT|SAM SHEE CHOONG , BD CRANETECH PTE LTD|CHEANG JEN BOON|WONG SIEW WAH
PROPOSED RECONSTRUCTION TO AN EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH A NEW ATTIC ON LOT 05234X MK18 AT 40 JALAN TAMBUR|SIVALINGAM RAJMOHAN , WORKSHOP I.D. & BUILD PTE LTD|NG DICK YOUNG|KOK ENG TIONG DESMOND
PROPOSED ERECTION OF A 6-STOREY MULTI-USER RESEARCH & DEVELOPMENT BUILDING WITH A BASEMENT CAR PARK AT CLEANTECH VIEW / CLEANTECH LOOP (WESTERN WATER CATCHMENT) ON LOT 01754V & 01773T MK09 AT CLEANTECH LOOP|LIE TJO NGAK , SANCHOON BUILDERS PTE LTD|LEONG BOON CHENG|TONG CHERNG YAW
PROP CONDO HOUSING DEVELOPMENT COMPRISING 1 BLK OF 5-STY, 1 BLKS OF 6-STY, 2 BLKS OF 7-STY, 2 BLKS OF 8-STY, 2 BLKS OF 9-STY, 3 BLKS OF 10-STY RESIDENTIAL FLATS (TOTAL 366) WITH BASEMENT CARPARK & ANCILLARY FACILITIES AT KEPPEL BAY DRIVE (BUKIT MERAH PLANN ON LOT 03493T MK01 AT KEPPEL BAY DRIVE|YONG TIAM YOON , WOH HUP (PRIVATE LIMITED)|LIM KEN CHAI|
PROPOSED NEW ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 126V MK 15 AT 71 THOMSON RIDGE|MONINA M.CABER , MANIFIELD DESIGN CONSULT|OH CHOON CHYE|
PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 9 BLOCKS OF 5-STOREY FLAT (TOTAL 148 UNITS) WITH ATTIC, BASEMENT CARPARK, AND PROVISION FOR A SWIMMING POOL. (QUEENSTOWN PLANNING AREA) ON LOT 01484T & 01485A MK03 AT 463 PASIR PANJANG ROAD|PANG JIUN FATT, BENJAMIN , ASIABUILD CONSTRUCTION PTE LTD|ZHOU TONG QUAN|JAMES GOH AH WHATT
PROPOSED INSTALLATION OF PROTECTIVE MILD-STEEL RAILING TO DINING ROOM WINDOW AT BLOCK 224 LORONG 8 TOA PAYOH #06-765 SINGAPORE 310224 AT 224 LORONG 8 TOA PAYOH|RAMESH VIVEK , JFK CONSTRUCTION PTE. LTD.|WEE HIAN WEN|
PROPOSED ERECTION OF A 7-STOREY INTERPOL GLOBAL COMPLEX AND A 4-STOREY WITH 1-BASEMENT ANNEX BLOCK ON LOT 01297W, 01300A, 01455L, 01652M, 01654V & 01655P TS25 AT 17 NAPIER ROAD|SATHNEL SO RANGASAMY ,|KANG SWEE ANN|MAUREEN SOH KEE SWEE
PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 15-STOREY HDB BLOCK ON LOT 03557T MK 13 AT 511 WOODLANDS DRIVE 14 # 02-67 SINGAPORE 730511|GURUNATHAN BALASURAMANIYAN , JIESON (S) PTE LTD|CHIN CHEE WAI|
PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING SINGLE USER FACTORY ON LOT 01036X MK 06 AT NO.80 INTERNATIONAL ROAD, SINGAPORE 629170|NG PAK THIANG , ENG LOKE SENG CONSTRUCTION PTE LTD|PUA TECK SENG|THAM SIEW THONG PAUL
PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 3 BLOCKS OF 19/ 20-STOREY RESIDENTIAL BUILDING (TOTAL 524 UNITS), WITH CHILDCARE CENTRE, PRECINCT PAVILION, MULTI-STOREY CARPARK CUM ESS AND NEIGHBOURHOOD PARK AT CHOA CHU KANG AVENUE 7 (CHOA CHU KANG N8C8) ON LOT 04814P MK10 AT CHOA CHU KANG AVENUE 7|GOH CHING LEONG , KUAN AIK HONG CONSTRUCTION PTE LTD|TAN MENG LIANG|ONG LI CHING GIDGETELENA
PROPOSED NEW ERECTION OF A 2 STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 98357A MK18 AT 70 COWDRAY AVENUE|HENG KONG CHUAN , SPRINGVIEW ENTERPRISES PTE.LTD.|Tiong Hoo Tuong|LUA KOK LEONG
PROPOSED RECONSTRUCTION TO EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO 2-STOREY INTERMEDIATE TERRACE DWELLING WITH AN ATTIC ON LOT 98941N MK 18 AT 5 FARLEIGH AVENUE SINGAPORE 557797|ANTONIO V. MENDOZA III , WOOM PROJECTS PTE LTD|TEO THIAN POH|TEO THIAN POH
PROPOSED RECONSTRUCTION OF AN EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ADDITION OF A NEW ATTIC ON LOT 3514M MK18 AT 5 JALAN LEBAT DAUN|Choo Sing Chow , ATAT.1 PTE LTD|HUANG ZHAO REN ADRIAN JOSEPH|YANG POW SING
PROPOSED ERECTION OF A RESIDENTIAL & COMMERCIAL DEVELOPMENT COMPRISING SHOPS (TOTAL: 57 UNITS) AT 1ST STOREY, BASEMENT CARPARK AND APARTMENTS ( TOTAL: 141 UNITS) AT 2ND-5TH STOREY WITH ATTIC AT MK23-02083X AT JALAN LOKAM (HOUGANG PLANNING AREA) ON LOT 02083X MK23 AT JALAN LOKAM|Julius Yee Mendoza , East Asia Engineering & Construction Pte Ltd|LOW CHEE KONG|HUAY XIAOXIAN
PROPOSED NEW ERECTION OF A CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF 6 BLOCKS OF 18 STOREY RESIDENTIAL BUILDINGS AND BASEMENT CARPARKS WITH SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 2453K MK21AT SENGKANG EAST AVENUE|TOH CHEE SIANG , QINGJIAN INTERNATIONAL (SOUTH PACIFIC) GROUP DEVELOPMENT CO P L|Robin Chia Kay Hua|CHONG NAN HING
PROPOSED NEW ERECTION OF A 2-STOREY BUNGALOW WITH ATTIC AND A SWIMMING POOL ON LOT 00554M MK 17 AT 12 TREVOSE CRESCENT|Santos Brigette Langot , EMMA Groups Construction Pte Ltd|TEO JIN KWEE|CHAN LOO SIANG
PROPOSED ERECTION OF 2 UNITS OF 2 STOREY DETACHED DWELLING HOUSE EACH WITH A SWIMMING POOL AT C-2 HOLLAND PARK (TANGLIN PLANNING AREA) ON LOT 03654A & 03655K MK02 AT C-2 HOLLAND PARK|CATHERINE DELA ROSA , HOLDEN TILING & CONSTRUCTION PTE LTD|PHILIP YEO PENG YAM|KO SHIOU HEE
PROPOSED NEW ERECTION OF A CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF 6 BLOCKS OF 18 STOREY RESIDENTIAL BUILDINGS AND BASEMENT CARPARKS WITH SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 2453K MK21AT SENGKANG EAST AVENUE|TOH CHEE SIANG , QINGJIAN INTERNATIONAL (SOUTH PACIFIC) GROUP DEVELOPMENT CO P L|CHENG TEE TECK|CHONG NAN HING
PROPOSED ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT PRECINCT C & D CONSISTING OF BLOCKS415, 416, 417, 419, 420, 421, 422, 423, 424, 425, 426, AND 427 WITH NEW LIFTS / LIFT LOBBIES AT SERANGOON CENTRAL (LIFT UPGRADING PROGRAMME) ON LOT 6887P, 6907C & 8989L MK24 AT 415 SERANGOON CENTRAL, 416 SERANGOON CENTRAL, 417 SERANGOON CENTRAL, 419 SERANGOON CENTRAL, 420 SERANGOON CENTRAL, 421 SERANGOON CENTRAL, 422 SERANGOON CENTRAL, 423 SERANGOON CENTRAL, 424 SERANGOON CENTRAL, 425 SERANGOON CENTRAL, 426 SERANGOON CENTRAL, 427 SERANGOON CENTRAL|NG HAI TONG , STALLION DEVELOPMENT PTE LTD|LEONG MENG SUN|NGOOI  NGOK  SAI
PROPOSED CONSERVATION OF CAPITOL THEATRE, CAPITOL BLDG &  STAMFORD HSE AS PT 3/4-STY HOTEL (157 RM), ERECTION 2-STY COMMERCIAL PODIUM WITH 12-STY RESI FLATS (39 UNITS) 2 BASEMENT FOR SHOPPING WITH UNDERGROUND PEDESTRIAN MALL & 4 BASEMENT CARPARKS AT STAMFO ON LOT 00333W, 00335P, 00337A, 00341K, 00346M, 80001L & 99875L TS10 AT NORTH BRIDGE ROAD, STAMFORD ROAD|Tan Poh Lian , Hak Kian entreprises ltd|Ngan See Pyng|MICHAEL NGU
PROPOSED ROAD TUNNEL FOR MARINA COASTAL EXPRESSWAY CONTRACT 482 MARINA SOUTH (WITH ESCAPE STAIRCASE AT GRADE) ON LOT 00266W & 00305C TS30 AT TEMP ROAD NAME|Low Kiat Chye Jeremy , Tactic Engineering Pte Ltd|TONG SWEI YEH|
PROPOSED ERECTION OF THOMSON LINE CALDECOTT UNDERGROUND MASS RAPID TRANSIT STATION ON LOTS 05811A PT, 08247M PT, 09914X PT, 09918W PT, 10201T PT, 10203K PT MK 17 AT TOA PAYOH RISE|Chung Hoi Yong , SAMSUNG C&T CORPORATION|GAN CHIEW MONG,LIM PENG HONG|CHIN THOE CHONG
PROPOSED ADDITIONS & ALTERATIONS TO CONVERT EXISTING 6-STOREY COMMERCIAL BUILDING TO A HOTEL DEVELOPMENT  WITH ATTIC AND EXISTING CARPARK AT BASEMENT 1 AT 230 JALAN BESAR ON LOT 01040X TS17 AT 230 JALAN BESAR|STEVEN SOO MIN SING , TIENRUI BUILDERS PTE LTD|ZHOU TONG QUAN|YONG WEI LEE
PROPOSED ERECTION OF A 5 STOREY RESIDENTIAL FLAT (TOTAL: 69 UNITS) DEVELOPMENT WITH ATTIC AND SWIMMING POOL ON 1ST AND MECHANISED CARPARK ON THE 1ST STOREY AND BASEMENT ON LOTS 03381N, 03380K & 03379X MK17 AT 8A, 10, 10A SHELFORD ROAD|Pang Siew Pui , Eng Lee Engineering Pte Ltd|Cheng Sook Mei|CHIN HONG OON
PROPOSED ADDITIONS & ALTERATIONS TO ADMIN BUILDING AND TEACHING BLOCK 5 WITH NEW ENTRANCE CANOPY AT SINGAPORE POLYTECHNIC ON LOTS 1797A, 03438V & 2266N MK 03 AT 500 DOVER ROAD SINGAPORE 139651|Sazali Bin Abdul Wahab , Crystal Jade Engineering Pte. Ltd|CHEONG KUAN LEONG|LIM KAM WING
PROPOSED COVERED LINKWAY TO EXISTING COVERED LINKWAY NEXT TO TAMPINES MRT STATION ON LOT 02619X PT MK 29 AT TAMPINES CENTRAL 4|KOH TECK LEE , SHINCON INDUSTRIAL PTE LTD|CHUA HOCK BENG|DAVID CHAN SIEW ONN
PROPOSED NEW  ERECTION OF A  BLOCK OF 4-STOREY SOCIAL WELFARE COMPLEX ON LOT 10316V MK17 AT LORONG 8 TOA PAYOH( TOA PAYOH PLANNING AREA )|Lee Yiong Wei , Hong Shin Builders Pte Ltd|Krishnan Murugappan|HO TZU YIN
PROPOSED ADDITIONS AND ALTERATIONS TO AN EXISTING 2-STOREY CONSERVATION BUILDING INVOLVING NEW ERECTION OF A 3-STOREY REAREXTENSION WITH A BASEMENT AND ATTIC ON LOT 99535C TS19 AT 23 NIVEN ROAD|RALPH CHRISTION LIWAG MANGON , JOIN AIM PTE LTD|ZHOU TONG QUAN|WONG CHIU MAN
IMPROVEMENT TO ROADSIDE DRAIN AT JALAN SENANG ON LOT 1301P, 6570V, 743W & 787M MK28 AT TEMP ROAD NAME|LIM PING HWA , JOO SENG CONSTRUCTION PTE LTD|CHU YAT SUN|
PROPOSED ERECTION OF A 3-STOREY DETACHED DWELLING HOUSE WITH A ROOF TERRACE ON LOT 1775V MK 05 AT NO. 29 JALAN LAYANG LAYANG SINGAPORE 598495|LIM HING JONG , PRIME BUILDERS PTE LTD|NG BOON HOO|WONG LIN YI
PROPOSED ADDITIONS AND ALTERATIONS AND CHANGE OF USE FROM EXISTING OFFICE AND STORAGE AREA TO TEMPORARY ANCILLARY  WORKERS DORMITORY (494 WORKERS) TO THE EXISTING SINGLE-USER FACTORY DEVELOPMENT ON LOT 01069X,  MK 11 AT NO. 66 SUNGEI KADUT STREET 1,|WEE KEE SAN , ANDERCO PTE LTD|chan Seng Tah|TAY POH LOONG
AMENDMENT TO PROPOSED CONDOMINIUM DEVELOPMENT COMPRISING 4 BLOCKS OF 15-STOREY RESIDENTIAL FLATS (561 UNITS) WITH COMMERCIAL SHOP, 2 BASEMENT CAR PARK, SWIMMING POOLS AND ANCILLARY FACILITIES AT BEDOK RESERVOIR ROAD ON LOT 6182W MK28 AT BEDOK RESERVOIR ROAD|CHUA SENG CHIA , DEENN ENGINEERING PTE LTD|KANG JIANHAN|HO CHEOK CHENG ALAN
PROPOSED ADDITIONS AND ALTERATIONS INVOLVING COVER OVER EXISTING SKY BRIDGE FROM 3RD STOREY OF EXISTING 3-STOREY  ADMINISTRATION/LIBRARY  BLOCK TO 3RD STOREY OF EXISTING 5-STOREY SECONDARY SCHOOL CLASSROOM BLOCK MK17 ON LOTS 00090K,00091N,02965P, 09437N,09|OOI OON HEE , KEN-PAL (S) PTE. LTD.|CHAN SENG TAH|HO YAN YOY
