PROJECT REFERENCE NUMBER|TITLE|LOCALITY|ARCHITECT|ENGINEER|DATE APPROVED
A0506-00013-2012-BP03|PROPOSED ERECTION OF A PART 10-STOREY ACADEMIC BLOCK, PART 6-STOREY TRAINING WORKSHOP BLOCK, PAVILION & ADDITIONS AND ALTERATIONS TO EXISTING BCA ACADEMY ON LOT 14256T MK 18 AT 200 BRADDELL ROAD|ON LOT(S) 14256T  MK18 AT 200 BRADDELL ROAD|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD, CHUNG VUI LEONG T & T DESIGN CONSULTANTS PTE LTD,ER YEOH BOON KANG BK CONSULTING ENGINEERS PTE LTD,ER CHEANG YEW KEE J. PRO CONSULTING ENGINEERS LLP,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS,ER YONG YEEN SAN RAYMOND RYS CONSULTING ENGINEERS,ER GOH CHENG CHAI EPM CONSULTANTS,ER ONG CHEE WEE J PRO CONSULTING ENGINEERS|26/01/2015
A0506-00025-2008-BP02|PROPOSED ERECTION OF A 40-STOREY COMMERCIAL BUILDING WITH  OFFICES, 3 BASEMENTS FOR CARPARK AND ANCILLARY SERVICES ON LOT 00503A TS01 AT 138 MARKET STREET|ON LOT(S) 00503A  TS01 AT 138 MARKET STREET|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD,Mr POH CHER SENG GRACE CONSULTANTS,Mr M SIVAKUMARAN SMS CONSULTING ENGINEERS|06/01/2014
A0506-00027-2011-BP02|PROPOSED ERECTION OF A 5-STOREY DESIGN SCHOOL AT SINGAPORE POLYTECHNIC ON LOTS 03438V, 03049M, 02266N, 01797A MK 03 AT 500 DOVER ROAD|ON LOT(S) 01797A , 02266N , 03049M  & 03438V  MK03 AT DOVER ROAD|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD,Mr CHAN CHEE CHOON CASTELLO CONSULTANT|15/01/2014
A0506-00033-2012-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO OFFICE SPACE AND COMMON FACILITIES OF THE EXISTING MONETARY AUTHORITY OF SINGAPORE BUILDING  ON LOT(S) 00844M  TS23 AT 10 SHENTON WAY|ON LOT(S) 00844M  TS23 AT 10 SHENTON WAY|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|09/01/2014
A0506-00047-2011-BP02|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 1 BLOCK OF 25-STOREY RESIDENTIAL BUILDING (TOTAL 188 UNITS) WITH SURFACE CARPARK ON LOT 10369N MK 17 (FORMERLY KNOWN AS LOT 07259M PT MK 17) AT KIM KEAT AVENUE|ON LOT(S) 10369N  MK17|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD,ER TAN MENG LIANG MTECH CONSULTANTS,ER NG DICK YOUNG SHAN YOUNG & TUAH CONSULTANTS LLP|30/01/2015
A0506-00100-2013-BP01|PROPOSED ADDITIONS & ALTERATIONS (140T OSTERWALDER PRESS PROJECT) TO EXISTING SINGLE-STOREY DIRECT FORM PARTS MANUFACTURING PLANT WITH PART 2-STOREY ADMINISTRATION BUILDING ON LOT 03515X [JTC PLOT A1687200] MK 7 AT 7 TUAS WEST AVENUE|ON LOT(S) 03515X  MK07 AT TUAS WEST AVENUE|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|24/01/2014
A0535-01595-2012-BP01|PROPOSED COVERED LINKWAY FROM BLOCK 636 TO 626 ON LOT(S) 03469A  MK06 AT 636 JURONG WEST STREET 65|ON LOT(S) 03469A  MK06 AT 636 JURONG WEST STREET 65|MR HUANG JIA YEU JYHA LLP|Mr TIONG HOO TUONG CITY-TECH ASSOCIATES|02/01/2014
A0535-01599-2012-BP01|PROPOSED CONSTRUCTION OF 4 SHELTERS OVER EXISTING BBQ AREA AT BLK 683B  JURONG WEST CENTRAL 1 ON LOT 03501N MK 06|ON LOT(S) 03501N  MK06 AT 683B JURONG WEST CENTRAL 1 SINGAPORE 642683|MR HUANG JIA YEU JYHA LLP|Mr TIONG HOO TUONG CITY-TECH ASSOCIATES|08/01/2014
A0535-01600-2012-BP01|PROPOSED UPGRADING OF EXISTING HARD COURT AND STAGE IN FRONT OF RC CENTRE AT BLK 260 ON LOT 02889L & 02891X MK 06 AT 260 BOON LAY DRIVE  (JURONG WEST PLANNING AREA)|ON LOT(S) 02889L  & 02891X  MK06 AT 260 BOON LAY DRIVE|MR HUANG JIA YEU JYHA LLP|Mr TIONG HOO TUONG CITY-TECH ASSOCIATES|29/01/2014
A0535-01676-2013-BP01|PROPOSED CONSTRUCTION OF DROP-OFF POINT & LOW LINKWAY AT BLK 414 ANG MO KIO AVE 10 ON LOT 16967L MK 18|ON LOT(S) 16967L  MK18 AT 414 ANG MO KIO AVENUE 10|MR HUANG JIA YEU JYHA LLP|ER TIONG HOO TUONG CITY-TECH ASSOCIATES|05/01/2015
A0539-00054-2008-BP03|PROPOSED REDEVELOPMENT OF EXISTING CONDOMINIUM TO A NEW CONDOMINIUM DEVELOPMENT, COMPRISING 1 BLOCK OF 5 UNITS OF 2 STOREY STRATA LANDED HOUSING WITH AN ATTIC & BASEMENT AND 1 BLOCK OF 12 UNITS OF 5 STOREY BUILDING WITH AN ATTIC & A BASEMENT CARPARK, SWIM ON LOT(S) 00404P  TS20 AT 43 OXLEY ROAD|ON LOT(S) 00404P  TS20 AT 43 OXLEY ROAD|MR TAN HUA JIN, MELVIN LAUD ARCHITECTS PTE LTD|Mr LEE TUCK CHEONG BECA CARTER HOLLINGS & FERNER(S.E. ASIA) PTE LTD,Mr GARY NG WEE GIAP GNG CONSULTING ENGINEERS,Mr Chong Yit Wah KP Chai Engrg & Mgt Consultants,Mr LIM KEAN TEONG TNJ CONSULTANTS LLP|17/01/2014
A0539-00119-2014-BP02|PROPOSED CONVERSION OF EXISTING VOID DECK TO YOUTH CENTRE AT BLK 417 BUKIT BATOK WEST AVENUE 4 SINGAPORE 650417FOR REACH COMMUNITY SERVICES SOCIETY ON LOT(S) 02541W  MK10|ON LOT(S) 02541W  MK10|MR LAU TSE KIT LAUD ARCHITECTS PTE LTD||27/01/2015
A0552-01486-2014-BP01|PROPOSED ERECTION OF A 9-STOREY SINGLE-USER RAMP-UP WAREHOUSE WITH ANCILLARY OFFICE AND TEMPORARY ANCILLARY STAFF CANTEEN ON LOT 01788A PT MK09 AT JURONG WEST STREET 22 (JURONG WEST PLANNING AREA)|ON LOT(S) 01788A  MK09 AT JURONG WEST STREET 22|MR CHNG BENG GUAN 3HPARHICTECTS PTE LTD|ER KOH KOK KEANG BECA CARTER HOLLINGS & FERNER (S.E.ASIA)PTE LTD|13/01/2015
A0552-01490-2013-BP01|PROPOSED ERECTION OF A 6-STOREY RAMP-UP MULTIPLE-USER WAREHOUSE (TOTAL: 16 WAREHOUSE UNITS) WITH CONTAINER PARKING ON LOT 06000P MK05 AT 5B TOH GUAN ROAD EAST (CLEMENTI PLANNING AREA)|ON LOT(S) 06000P  MK05 AT TOH GUAN ROAD EAST|MR CHNG BENG GUAN 3HPARCHITECTS PTE LTD|ER CHEN YUE FENG KTP CONSULTANTS PTE LTD, LEE YEE SENG CSTECH CONSULTANTS & ENGRG PTE LTD|09/01/2015
A0562-01103-2011-BP02|PROPOSED ERECTION OF A 3-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC AND ROOF TERRACE ON LOT(S) 00261M  TS27 AT 14  JALAN LADA PUTEH|ON LOT(S) 00261M  TS27 AT 14  JALAN LADA PUTEH|MR CHUA SEE HOE C & C CHARTERED ARCHITECTS|ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS|02/01/2015
A0562-01115-2011-BP02|PROPOSED AMENDMENT TO APPROVED ERECTION OF A 3-STOREY INTERMEDIATE TERRACE HOUSE WITH AN ATTIC ON LOT 01996P MK 22 AT 7 LORONG 4 REALTY PARK SINGAPORE 536906 (HOUGANG PLANNING AREA)|ON LOT(S) 01996P  MK22 AT 7 LORONG 4 REALTY PARK|MR CHUA SEE HOE C & C CHARTERED ARCHITECTS|Mr GARY NG WEE GIAP GNG CONSULTING ENGINEERS|14/01/2014
A0562-01307-2013-BP01|PROPOSED ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT00587T MK19 AT 74 JALAN KEMUNING|ON LOT(S) 00587T  MK19|MR CHUA SEE HOE C&C CHARTERED ARCHITECTS|ER GOH YONG CHENG YC GOH CONSULTANTS|08/01/2015
A0567-01302-2013-BP02|PROPOSED NEW ERECTION OF 1 BLOCK OF HOTEL DEVELOPMENT 560 ROOMS WITH BASEMENT CARPARK, SWIMMING POOL & OTHER ANCILLARY FACILITIES ON LOT 08804W MK05 JURONG TOWN HALL ROAD (JURONG EAST PLANNING AREA)|ON LOT(S) 8804A  MK05|MR LOKE KWONG YOON TEAM DESIGN ARCHITECTS PTE LTD|ER S N VASUTAVAN VASU CHARTERED ENGINEERS,ER CHEONG KUAN LEONG K L CHEONG & ASSOCIATES,ER LEE CHI KUAN LONGROVE & ASSOCIATES PTE LTD,ER BUDI LEE MEINHARDT (SINGAPORE)  PTE LTD,ER TAN YEW CHAI DESIGNEER CONSULTANTS,ER KEE CHING GUAN CIVIL AND GEOTECHNICAL ASSOCIATES|30/01/2015
A0571-08831-2013-BP01|PROPOSED INSTALLATION OF CAR PARK SHELTER ON ROOF DECK OF A 8-STOREY LIGHT INDUSTRIAL FLATTED FACTORY DEVELOPMENT (TOTAL 251 UNITS) WITH A BLOCK OF PART 6 / 7 STOREY MULTI-STOREY CAR PARK ON LOT 06080V MK 28 AT 3016 BEDOK NORTH AVENUE 4 (TAMPINES PLANNING|ON LOT(S) 06080V  MK28 AT 3016 BEDOK NORTH AVENUE 4|MR CHUA TECK SENG DDA RESOURCES ARCHITECTS|Mr GARY NG WEE GIAP GNG CONSULTING ENGINEERS|03/01/2014
A0571-88007-2013-BP01|PROPOSED NEW ERECTION OF A SINGLE STOREY RC CENTRE ON LOT 01025W MK 14 AT SENJA LINK  (BUKIT PANJANG PLANNING AREA)|ON LOT(S) 01025W  MK14|MR CHUA TECK SENG DDA RESOURCES ARCHITECTS|ER ANG SWEE AIK JOSEPH & ANG ENGINEERS|05/01/2015
A0597-00174-2012-BP01|PROPOSED RECONSTRUCTION OF EXISTING 2-STOREY FACTORY TO A 4-STOREY SINGLE-USER LIGHT INDUSTRIAL FACTORY WITH  ROOF GARDEN ON LOT 01043L MK 28 AT NO. 15 SENANG CRESCENT (BEDOK PLANNING AREA)|ON LOT(S) 01043L  MK28 AT 15 SENANG CRESCENT|MR SEAH KWEI HIOK CYRIL K.H. SEAH ARCHITECTS|Mr CHONG KENG WEE PROMPT ENGINEERING CONSULTANTS PTE LTD|27/01/2014
A0623-01201-2012-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING 2-STOREY CONSERVED BUILDING & A SINGLE-STOREY CONSERVED STRUCTURE AND NEW ERECTION OF A 6-STOREY WITH ATTIC HOTEL BUILDING (TOTAL: 270 ROOMS) WITH SHOPS & RESTAURANT ON 1ST STOREY, CARPARKS ON 1ST & 2ND STOREY  ON LOT(S) 00269A  & 00280C  TS17 AT 165 TYRWHITT ROAD,  167 TYRWHITT ROAD|ON LOT(S) 00269A  & 00280C  TS17 AT 165 TYRWHITT ROAD,  167 TYRWHITT ROAD|MR WONG MENG HENG TEAM DESIGN ARCHITECTS PTE LTD|ER LIM KENG CHUA RICHARD K C LIM & PARTNERS, TAN BIN KEONG B K TAN CONSULTANTS|08/01/2014
A0647-25906-2010-BP02|PROPOSED LIFT UPGRADING PROJECT OF PUBLIC HOUSING DEVELOPMENT COMPRISING 1 BLOCK OF 15 STOREYS PUBLIC HOUSING ON LOT 06283T MK 22 AT HOUGANG STREET 21-(BLK 220)|ON LOT(S) 06283T  MK22 AT 220 HOUGANG STREET 21|MR SEAH SENG NGUAN, JOHN AGA ARCHITECTS PTE. LTD.|Mr SOO CHEE SERN CS CONSULTING ENGINEERS|23/01/2014
A0650-00101-2013-BP02|PROPOSED ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 05501X MK 18 AT 11 GRACE PARK ( SERANGOON PLANNING AREA)|ON LOT(S) 05501X  MK18 AT 11 GRACE PARK|MR CHIA HO KHENG FREDDIE H K CHIA ARCHITECTS|Mr TEO JIN KWEE ATC CONSULTING PTE LTD|23/01/2014
A0650-00108-2014-BP01|PROPOSED NEW ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 00613P MK 19 AT 41 JALAN SALANG (SEMBAWANG PLANNING AREA)|ON LOT(S) 00613P  MK19 AT 41 JALAN SALANG|MR CHIA HO KHENG FREDDIE H K CHIA ARCHITECTS|ER TEO JIN KWEE ATC CONSULTING PTE LTD|23/01/2015
A0650-00523-2013-BP01|PROPOSED ERECTION OF A 3-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC ON LOTS 9710X & 98222W MK 22 AT 16, SIMON ROAD|ON LOT(S) 9710X  & 98222W  MK22 AT 16 SIMON ROAD|MR CHIA HO KHENG FREDDIE H.K. CHIA ARCHITECTS|ER XU CHUANXI CITYSKY ENGINEERING CONSULTANTS|20/01/2015
A0650-00558-2014-BP01|CONVERSION OF EXISTING WHITE DECK SPACE TO PROPOSED CHILD CARE CENTRE EXTENSION AT MSCP BLOCK 439 SENGKANG WEST AVENUE ON LOT(S) 04259V  MK20 AT 439 SENGKANG WEST AVENUE|ON LOT(S) 04259V  MK20 AT 439 SENGKANG WEST AVENUE|MR CHIA HO KHENG FREDDIE H.K. CHIA ARCHITECTS||30/01/2015
A0659-00186-2010-BP02|PROPOSED ERECTION OF A 4-STOREY RESIDENTIAL DEVELOPMENT (TOTAL: 90 UNITS) WITH ATTIC, SHOPS (108 UNITS) AT 1ST STOREY & BASEMENT CARPARK ON LOT(S) 03664W , 05230K  & 05231N  MK27 AT UPPER CHANGI ROAD|ON LOT(S) 03664W , 05230K  & 05231N  MK27 AT UPPER CHANGI ROAD|MR HUAY KWOK MENG H.U.A.Y ARCHITECTS|Mr TAN BOON LEONG BL Tan & Associates Consulting and Structural Engineers,ER LIM KENG CHUA RICHARD K C LIM & PARTNERS,Mr GARY NG WEE GIAP GNG CONSULTING ENGINEERS,Mr LEE YEE SENG KTP CONSULTANTS PTE LTD|09/01/2014
A0659-00224-2012-BP03|PROPOSED AMENDMENT TO APPROVED ERECTION OF A PAIR OF 3-STOREY SEMI-DETACHED HOUSE WITH SWIMMING POOL  ON LOT 04216K & 09518M MK 22 AT LOWLAND ROAD|ON LOT(S) 04216K  & 09518M  MK22|MR HUAY KWOK MENG H.U.A.Y ARCHITECTS|ER CHEONG KUAN LEONG K L CHEONG & ASSOCIATES|29/01/2015
A0659-00240-2013-BP01|PROPOSED MIXED DEVELOPMENT COMPRISING SHOPS  (TOTAL:12 UNITS) AT 1ST & 2ND STOREY AND APARTMENTS (TOTAL :15 UNITS) AT 3RD TO 5TH STOREY WITH ATTIC & ROOF TOP SWIMMING POOL WITH MECHANISED CARPARK ON LOT 3371C,3372M & 6964T MK 23 AT UPPER PAYA LEBAR ROAD|ON LOT(S) 3371C , 3372M  & 6964T  MK23 AT UPPER PAYA LEBAR ROAD|MR HUAY KWOK MENG H.U.A.Y ARCHITECTS||08/01/2014
A0676-00002-2014-BP01|PROPOSED ADDITIONS & ALTERATIONS TO AN EXISITNG SINGLE USER SINGLE STOREY FACTORY INVOLVING THE ADDITION OF A SINGLE STOREY SHED ON LOT(S) 00746N  MK06 AT 16 JALAN BUROH|ON LOT(S) 00746N  MK06 AT 16 JALAN BUROH|MR PANG MOH YIN MYKP ARCHITECTS|ER TAN CHIN KIANG CK TAN & ASSOCIATES|26/01/2015
A0704-50702-2013-BP02|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING BLANGAH RISE PRIMARYSCHOOL ON LOTS 03473W, 03735C PT MK 01 AT NO. 91 TELOK BLANGAH HEIGHTS|ON LOT(S) 03473W  & 03735C  MK01 AT 91 TELOK BLANGAH HEIGHTS|MR LIM BOON LENG ADDP ARCHITECTS LLP||28/01/2014
A0706-00001-2012-BP01|PROPOSED NEW ERECTION OF A 6 STOREY SINGLE USER WAREHOUSE ON LOT 00276A MK01 AT 10 CHANG CHARN ROAD AND A&A TO APPROVED 6 STOREY SINGLE USER LIGHT INDUSTRY WITH MEZZANINE FLOOR AT 1ST STOREY ON LOT 00464W MK01 AT 8 CHANG CHARN ROAD INTO A SINGLE INTEGRATE|ON LOT(S) 00276A  & 00464W  MK01 AT 8, 10 CHANG CHARN ROAD|MR CLEMENT GERARD HENDRICKS UNIVERSAL AKITEK|ER TAN HOOI KIAT THK CONSULTANT ENGINEERS,MR THONG TUCK SENG YR 2000 ENGINEERING CONSULTANTS|22/01/2014
A0706-00002-2013-BP02|PROPOSED NEW ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE  ON LOT(S) 98216L  MK22 AT 19  SIMON WALK|ON LOT(S) 98216L  MK22 AT 19  SIMON WALK|MR CLEMENT GERARD HENDRICKS UNIVERSAL AKITEK|ER TAN HOOI KIAT THK CONSULTANT ENGINEERS,ER LIAU WAI KUN KEON CONSULT PTE LTD|14/01/2015
A0706-00010-2014-BP01|PROPOSED LOBBY INTERIOR UPGRADING TO THE EXISTING CONDOMINIUM WITH ADDITION OF ACCESSIBLE RAMP FOR PERSON WITH DISABILITY AT TOWER A AND TOWER B ON LOT 00694K TS21 LEONIE TOWERS CONDOMINIUM; ST PLAN NO. 361, 20 LEONIE HILL, SINGAPORE|ON LOT(S) 00694K  TS21|MR CLEMENT GERARD HENDRICKS UNIVERSAL AKITEK||12/01/2015
